Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query013/query013_0.sql...
0.000, 0.026, 17989.954, 0.010
Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query084/query084_0.sql...
0.000, 0.013, 12687.971, 0.179
0.000, 0.012, 1126.452, 0.214
0.000, 0.024, 2039.302, 0.143
0.000, 0.040, 3230.110, 0.157
0.000, 0.024, 1377.696, 0.138
Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query084_spj/query084_spj_0.sql...
0.000, 0.014, 948.972, 0.013
0.000, 0.013, 875.957, 0.010
0.000, 0.035, 927.482, 0.012
0.001, 0.078, 969.226, 0.013
0.000, 0.028, 894.141, 0.012
Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query085/query085_0.sql...
0.000, 0.014, 338518.275, 0.043
0.000, 0.028, 1873.333, 0.041
0.000, 0.024, 196220.089, 0.080
0.000, 0.024, 292012.350, 0.042
0.000, 0.024, 255767.674, 0.086
Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query085_spj/query085_spj_0.sql...
0.000, 0.037, 1569.211, 0.011
0.001, 0.012, 1517.562, 0.011
0.000, 0.031, 1619.027, 0.011
0.000, 0.023, 1576.715, 0.011
0.000, 0.023, 1617.924, 0.025
Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query087/query087_0.sql...
0.000, 0.013, 21068.468, 0.025
0.000, 0.013, 20286.504, 0.025
0.000, 0.026, 21543.343, 0.025
0.000, 0.030, 20584.598, 0.011
0.000, 0.024, 22731.240, 0.012
Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query091/query091_0.sql...
0.000, 0.012, 721.858, 0.026
0.000, 0.012, 475.213, 0.016
0.000, 0.024, 868.504, 0.032
0.000, 0.025, 820.159, 0.056
0.000, 0.029, 594.270, 0.028
Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query091_spj/query091_spj_0.sql...
0.001, 0.023, 384.032, 0.025
0.000, 0.012, 389.710, 0.012
0.001, 0.049, 428.230, 0.012
0.001, 0.084, 439.182, 0.011
0.000, 0.028, 371.703, 0.013
Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query099/query099_0.sql...
0.000, 0.014, 4109.939, 0.034
0.000, 0.013, 3675.542, 0.029
0.000, 0.025, 4046.248, 0.017
0.000, 0.026, 58002.801, 0.023
0.000, 0.028, 35110.472, 0.031
Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query099_spj/query099_spj_0.sql...
0.000, 0.013, 3761.793, 0.011
0.000, 0.012, 3679.423, 0.015
0.000, 0.028, 3779.263, 0.012
0.000, 0.026, 3765.283, 0.027
0.000, 0.026, 3714.372, 0.011
Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query100/query100_0.sql...
0.000, 0.013, 436.756, 0.021
0.000, 0.012, 391.789, 0.009
