Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.662, 2.685, 0.301, 1.708, 0.717, 0.324, 4.271, 0.998, 2.843, 20.041, , , , 23.933, 58.483
0.580, 2.610, 0.366, 1.751, 0.701, 0.325, 4.192, 1.065, 2.773, 20.073, , , , 23.959, 58.395
0.566, 2.137, 0.260, 1.731, 0.686, 0.313, 4.172, 0.989, 2.809, 19.991, , , , 24.470, 58.124
0.853, 2.227, 0.269, 1.662, 0.762, 0.323, 4.334, 1.052, 2.904, 20.443, , , , 26.744, 61.573
0.753, 2.448, 0.422, 3.091, 1.438, 0.527, 4.364, 1.048, 2.887, 20.258, , , , 23.860, 61.096
0.452, 1.746, 0.276, 1.650, 0.744, 0.323, 4.348, 1.051, 2.872, 19.842, , , , 24.077, 57.381
0.589, 2.601, 0.419, 1.718, 0.708, 0.329, 4.415, 1.086, 2.846, 20.205, , , , 29.897, 64.813
0.472, 1.706, 0.297, 1.661, 0.732, 0.326, 4.389, 1.061, 2.857, 20.025, , , , 24.139, 57.665
0.577, 2.857, 0.312, 1.675, 0.712, 0.328, 4.403, 1.059, 2.853, 20.311, , , , 23.658, 58.745
0.512, 2.090, 0.268, 1.676, 0.700, 0.334, 4.284, 1.024, 2.847, 20.190, , , , 23.831, 57.756
0.655, 2.786, 0.403, 1.952, 0.704, 0.322, 4.312, 1.034, 2.855, 19.959, , , , 23.837, 58.819
0.498, 1.729, 0.306, 1.690, 0.711, 0.322, 4.211, 1.045, 2.797, 19.763, , , , 23.955, 57.027
0.494, 1.938, 0.267, 1.640, 0.699, 0.319, 4.212, 1.069, 2.768, 19.647, , , , 23.828, 56.881
0.416, 1.765, 0.271, 1.700, 0.728, 0.328, 4.335, 1.084, 2.882, 20.305, , , , 23.999, 57.813
0.450, 1.768, 0.264, 1.634, 0.697, 0.314, 4.308, 1.038, 2.884, 20.335, , , , 24.794, 58.486
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10b.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.435, 1.664, 0.261, 1.849, 1.398, 0.765, 4.970, 1.060, 2.870, 20.230, , , , 20.199, 55.701
0.558, 1.789, 0.286, 1.696, 0.763, 0.340, 4.347, 1.035, 2.903, 20.205, , , , 19.875, 53.797
0.448, 1.649, 0.283, 1.737, 0.685, 0.319, 4.306, 1.045, 2.853, 20.145, , , , 20.236, 53.706
0.466, 1.763, 0.264, 1.712, 0.676, 0.318, 4.222, 1.016, 2.872, 19.825, , , , 20.337, 53.471
0.486, 1.644, 0.277, 1.722, 0.675, 0.318, 4.267, 1.053, 2.914, 20.072, , , , 21.679, 55.107
0.392, 1.695, 0.256, 1.693, 0.684, 0.369, 4.330, 1.079, 2.893, 19.776, , , , 20.035, 53.202
0.511, 1.706, 0.267, 1.671, 0.712, 0.317, 4.278, 1.037, 2.893, 19.681, , , , 20.082, 53.155
0.411, 1.564, 0.253, 1.675, 0.687, 0.327, 4.263, 1.024, 2.851, 19.646, , , , 21.599, 54.300
0.512, 1.952, 0.271, 1.643, 0.686, 0.326, 4.231, 1.059, 2.814, 19.909, , , , 20.034, 53.437
0.495, 1.630, 0.309, 1.676, 0.687, 0.326, 4.275, 1.050, 2.847, 19.802, , , , 21.271, 54.368
0.565, 1.703, 0.284, 1.755, 0.712, 0.323, 4.344, 1.094, 2.864, 20.351, , , , 19.760, 53.755
0.526, 2.526, 0.389, 3.015, 1.409, 0.767, 9.126, 2.149, 3.938, 21.661, , , , 21.502, 67.008
0.505, 2.097, 0.271, 1.658, 0.678, 0.315, 4.339, 1.051, 2.911, 19.843, , , , 20.180, 53.848
0.805, 2.425, 0.322, 1.745, 0.669, 0.320, 4.244, 1.032, 2.880, 19.903, , , , 20.055, 54.400
0.663, 2.776, 0.378, 1.806, 0.661, 0.311, 4.163, 0.991, 2.822, 19.650, , , , 19.858, 54.079
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10c.sql...
