Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.213, 0.764, 0.571, 0.851, 0.349, 0.231, , , , , 0.199, 0.142, 0.023, 2.920, 6.263
0.199, 0.396, 0.313, 0.537, 0.179, 0.113, , , , , 0.112, 0.087, 0.019, 0.871, 2.826
0.237, 0.537, 0.324, 0.501, 0.277, 0.148, , , , , 0.139, 0.109, 0.018, 1.324, 3.614
0.190, 0.505, 0.346, 0.597, 0.256, 0.158, , , , , 0.155, 0.125, 0.020, 0.558, 2.910
0.207, 0.558, 0.345, 0.611, 0.259, 0.181, , , , , 0.162, 0.140, 0.018, 3.146, 5.627
0.364, 1.264, 0.445, 0.922, 0.626, 0.233, , , , , 0.263, 0.239, 0.022, 1.443, 5.821
0.249, 0.672, 0.575, 0.844, 0.337, 0.274, , , , , 0.197, 0.139, 0.023, 3.037, 6.347
0.231, 0.413, 0.334, 0.507, 0.187, 0.127, , , , , 0.119, 0.092, 0.019, 0.763, 2.792
0.179, 0.507, 0.324, 0.525, 0.228, 0.153, , , , , 0.142, 0.115, 0.019, 1.362, 3.554
0.209, 0.512, 0.394, 0.564, 0.268, 0.167, , , , , 0.166, 0.130, 0.020, 0.141, 2.571
0.249, 0.578, 0.332, 0.522, 0.253, 0.187, , , , , 0.170, 0.139, 0.018, 2.995, 5.443
0.314, 0.903, 0.446, 0.950, 0.601, 0.225, , , , , 0.253, 0.233, 0.024, 1.928, 5.877
0.264, 0.623, 0.536, 0.840, 0.330, 0.223, , , , , 0.189, 0.137, 0.022, 2.957, 6.121
0.186, 0.416, 0.354, 0.514, 0.193, 0.122, , , , , 0.120, 0.091, 0.019, 0.635, 2.650
0.280, 0.618, 0.317, 0.519, 0.231, 0.151, , , , , 0.146, 0.148, 0.019, 1.296, 3.725
0.244, 0.651, 0.356, 0.584, 0.266, 0.166, , , , , 0.163, 0.132, 0.020, 0.157, 2.739
0.178, 0.394, 0.326, 0.527, 0.255, 0.186, , , , , 0.169, 0.151, 0.017, 3.019, 5.222
0.394, 0.975, 0.416, 0.897, 0.603, 0.225, , , , , 0.252, 0.278, 0.022, 1.588, 5.650
0.251, 0.636, 0.541, 0.791, 0.332, 0.221, , , , , 0.191, 0.146, 0.051, 2.359, 5.519
0.193, 0.419, 0.397, 0.507, 0.182, 0.119, , , , , 0.119, 0.090, 0.018, 0.737, 2.781
0.271, 0.779, 0.375, 0.540, 0.237, 0.151, , , , , 0.145, 0.114, 0.017, 1.264, 3.893
0.275, 0.644, 0.354, 0.537, 0.266, 0.163, , , , , 0.165, 0.130, 0.019, 0.178, 2.731
0.223, 0.515, 0.326, 0.522, 0.253, 0.187, , , , , 0.170, 0.137, 0.018, 2.999, 5.350
