Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query018/query018_0.sql...
0.000, 0.125, 3.195, 0.001, 0.644, 0.029, 97.397, 1.322, 0.046, 0.031, 0.419, 0.026, 0.295, 0.755, 0.021, 0.014, 0.277, 0.034, 83.334, 174.088, 0.052
0.034, 0.013, 0.504, 0.001, 0.357, 0.024, 19.072, 0.136, 0.041, 0.023, 0.373, 0.019, 0.293, 0.112, 0.014, 0.012, 0.195, 0.020, 1.469, 6.590, 0.026
0.028, 0.013, 0.498, 0.000, 0.356, 0.023, 19.025, 0.243, 0.017, 0.023, 0.403, 0.019, 0.274, 0.116, 0.014, 0.011, 0.193, 0.021, 1.406, 5.259, 0.012
0.030, 0.012, 0.456, 0.000, 0.360, 0.025, 19.177, 0.137, 0.028, 0.023, 0.381, 0.019, 0.280, 0.110, 0.014, 0.011, 0.194, 0.020, 1.462, 5.118, 0.010
0.030, 0.013, 0.491, 0.000, 0.352, 0.024, 19.102, 0.161, 0.014, 0.024, 0.375, 0.019, 0.278, 0.114, 0.014, 0.011, 0.200, 0.022, 1.424, 5.867, 0.010
0.028, 0.011, 0.442, 0.000, 0.360, 0.023, 19.014, 0.131, 0.027, 0.023, 0.380, 0.019, 0.272, 0.111, 0.013, 0.011, 0.193, 0.021, 1.442, 4.993, 0.010
0.028, 0.012, 0.443, 0.000, 0.353, 0.024, 19.046, 0.133, 0.028, 0.024, 0.379, 0.019, 0.274, 0.115, 0.014, 0.011, 0.195, 0.020, 1.401, 5.061, 0.010
0.041, 0.013, 0.454, 0.000, 0.411, 0.025, 19.171, 0.397, 0.016, 0.023, 0.417, 0.020, 0.278, 0.112, 0.014, 0.012, 0.198, 0.022, 1.457, 5.896, 0.011
0.029, 0.012, 0.435, 0.000, 0.354, 0.024, 19.067, 0.135, 0.028, 0.023, 0.380, 0.019, 0.273, 0.107, 0.013, 0.011, 0.195, 0.020, 1.446, 5.277, 0.010
0.028, 0.012, 0.431, 0.000, 0.359, 0.024, 19.249, 0.300, 0.015, 0.022, 0.378, 0.019, 0.275, 0.113, 0.014, 0.011, 0.197, 0.021, 1.467, 4.971, 0.010
0.028, 0.012, 0.497, 0.000, 0.356, 0.023, 19.137, 0.374, 0.017, 0.024, 0.379, 0.019, 0.277, 0.096, 0.013, 0.011, 0.195, 0.021, 1.408, 4.890, 0.010
0.028, 0.012, 0.444, 0.000, 0.358, 0.024, 19.184, 0.209, 0.017, 0.022, 0.375, 0.019, 0.274, 0.112, 0.013, 0.011, 0.195, 0.020, 1.415, 6.236, 0.011
0.028, 0.012, 0.449, 0.000, 0.357, 0.024, 19.033, 0.133, 0.028, 0.022, 0.375, 0.019, 0.273, 0.112, 0.014, 0.011, 0.202, 0.020, 1.427, 5.942, 0.010
0.038, 0.014, 0.462, 0.000, 0.360, 0.024, 19.229, 0.222, 0.016, 0.023, 0.376, 0.019, 0.277, 0.114, 0.014, 0.011, 0.196, 0.023, 1.496, 5.325, 0.010
0.030, 0.012, 0.448, 0.000, 0.405, 0.024, 19.101, 0.136, 0.028, 0.023, 0.383, 0.019, 0.312, 0.112, 0.013, 0.011, 0.198, 0.020, 1.411, 5.575, 0.011
Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query018_spj/query018_spj_0.sql...
0.168, 0.000, 0.000, 0.000, 0.000, 0.000, 0.013, 3.332, 0.102, 0.067, 1.503, 0.123, 136.444, 0.472, 0.011
0.052, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 0.195, 0.014, 0.020, 0.319, 0.021, 42.838, 0.402, 0.011
0.078, 0.000, 0.000, 0.000, 0.000, 0.000, 0.003, 0.095, 0.025, 0.018, 0.292, 0.021, 41.788, 0.372, 0.011
0.045, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 0.113, 0.012, 0.019, 0.296, 0.020, 42.076, 0.365, 0.011
0.040, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 0.101, 0.025, 0.018, 0.294, 0.020, 42.249, 0.424, 0.011
0.043, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 0.187, 0.012, 0.018, 0.296, 0.022, 41.896, 0.351, 0.011
0.042, 0.000, 0.000, 0.000, 0.000, 0.000, 0.003, 0.145, 0.012, 0.018, 0.293, 0.021, 41.893, 0.401, 0.011
0.051, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 0.107, 0.013, 0.017, 0.301, 0.020, 42.156, 0.348, 0.015
0.043, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 0.131, 0.012, 0.017, 0.295, 0.021, 41.945, 0.394, 0.011
0.046, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 0.303, 0.013, 0.018, 0.294, 0.021, 42.388, 0.380, 0.011
0.042, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 0.112, 0.028, 0.018, 0.293, 0.021, 42.228, 0.444, 0.011
0.052, 0.000, 0.000, 0.000, 0.000, 0.000, 0.003, 0.085, 0.025, 0.018, 0.298, 0.020, 42.119, 0.370, 0.011
0.044, 0.000, 0.000, 0.000, 0.000, 0.000, 0.003, 0.952, 0.013, 0.016, 0.278, 0.020, 42.167, 0.346, 0.012
0.053, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 0.271, 0.013, 0.018, 0.297, 0.021, 42.220, 0.384, 0.012
0.044, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 0.097, 0.012, 0.018, 0.299, 0.021, 41.567, 0.316, 0.011
Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query019/query019_0.sql...
0.041, 0.000, 0.000, 0.000, 0.000, 0.000, 0.003, 0.465, 0.030, 0.011, 0.300, 0.027, 15.776, 201.353, 0.011
0.075, 0.000, 0.000, 0.000, 0.000, 0.000, 0.003, 0.198, 0.014, 0.021, 0.351, 0.021, 1.704, 4.307, 0.008
0.042, 0.000, 0.000, 0.000, 0.000, 0.000, 0.003, 0.140, 0.013, 0.019, 0.344, 0.022, 1.725, 4.033, 0.009
0.043, 0.000, 0.000, 0.000, 0.000, 0.000, 0.003, 0.074, 0.013, 0.020, 0.356, 0.021, 1.723, 4.224, 0.009
0.044, 0.000, 0.000, 0.000, 0.000, 0.000, 0.003, 0.191, 0.013, 0.019, 0.346, 0.022, 1.753, 4.099, 0.009
0.043, 0.000, 0.000, 0.000, 0.000, 0.000, 0.003, 0.087, 0.012, 0.020, 0.347, 0.022, 1.731, 4.420, 0.008
