Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query018/query018_0.sql...
0.000, 0.132, 3.826, 0.225, 3.192, 0.231, 55.778, 0.130, 0.127, 1.600, 0.130, 2.472, 0.085, 0.066, 1.127, 0.118, 179.072, 0.052
0.061, 0.012, 0.535, 0.000, 0.374, 0.026, 0.878, 0.028, 0.013, 0.240, 0.021, 0.268, 0.032, 0.024, 0.183, 0.020, 6.907, 0.011
0.020, 0.011, 0.421, 0.000, 0.368, 0.025, 0.658, 0.017, 0.013, 0.249, 0.022, 0.257, 0.014, 0.011, 0.188, 0.021, 6.631, 0.010
0.016, 0.011, 0.409, 0.000, 0.411, 0.025, 0.675, 0.015, 0.012, 0.241, 0.021, 0.269, 0.015, 0.024, 0.185, 0.020, 5.943, 0.023
0.017, 0.011, 0.419, 0.000, 0.363, 0.025, 0.673, 0.015, 0.013, 0.246, 0.022, 0.255, 0.014, 0.011, 0.188, 0.021, 5.810, 0.010
0.017, 0.010, 0.444, 0.000, 0.357, 0.024, 0.677, 0.015, 0.012, 0.242, 0.021, 0.302, 0.035, 0.024, 0.186, 0.020, 5.888, 0.010
0.017, 0.023, 0.450, 0.000, 0.350, 0.024, 0.691, 0.015, 0.013, 0.238, 0.021, 0.287, 0.036, 0.011, 0.181, 0.020, 5.849, 0.010
0.017, 0.011, 0.422, 0.000, 0.365, 0.026, 0.651, 0.017, 0.013, 0.247, 0.022, 0.257, 0.014, 0.011, 0.188, 0.020, 5.584, 0.010
0.016, 0.011, 0.419, 0.000, 0.363, 0.025, 0.625, 0.015, 0.012, 0.243, 0.021, 0.253, 0.032, 0.011, 0.228, 0.020, 5.906, 0.010
0.017, 0.011, 0.426, 0.000, 0.364, 0.025, 0.686, 0.015, 0.013, 0.246, 0.022, 0.256, 0.015, 0.011, 0.189, 0.021, 5.776, 0.010
0.019, 0.011, 0.425, 0.000, 0.366, 0.025, 0.715, 0.015, 0.013, 0.244, 0.021, 0.790, 0.016, 0.012, 0.187, 0.020, 5.994, 0.011
0.017, 0.011, 0.425, 0.000, 0.368, 0.025, 0.660, 0.017, 0.020, 0.319, 0.022, 0.257, 0.015, 0.011, 0.189, 0.021, 5.807, 0.010
0.023, 0.012, 0.481, 0.000, 0.366, 0.025, 0.627, 0.015, 0.012, 0.246, 0.021, 0.256, 0.014, 0.011, 0.188, 0.021, 5.874, 0.010
0.017, 0.011, 0.419, 0.000, 0.360, 0.025, 0.614, 0.039, 0.013, 0.243, 0.021, 0.320, 0.035, 0.024, 0.184, 0.020, 5.875, 0.010
0.017, 0.011, 0.421, 0.000, 0.366, 0.025, 0.616, 0.015, 0.013, 0.247, 0.021, 0.274, 0.015, 0.011, 0.187, 0.021, 5.840, 0.009
Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query018_spj/query018_spj_0.sql...
0.093, 0.127, 1.981, 0.003, 2.096, 0.140, 3.783, 0.089, 0.072, 1.429, 0.126, 1.503, 0.085, 0.067, 1.052, 0.116, 23.597, 0.023
0.016, 0.012, 0.364, 0.000, 0.370, 0.026, 0.642, 0.039, 0.013, 0.241, 0.021, 0.267, 0.046, 0.011, 0.183, 0.016, 5.922, 0.010
0.014, 0.010, 0.359, 0.000, 0.373, 0.026, 0.629, 0.015, 0.013, 0.248, 0.022, 0.303, 0.029, 0.011, 0.187, 0.017, 5.637, 0.010
