Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query018/query018_0.sql...
0.000, 0.121, 462.996, 0.047
0.000, 0.011, 7.456, 0.010
0.000, 0.011, 7.034, 0.010
0.000, 0.011, 7.321, 0.011
0.000, 0.011, 7.643, 0.010
0.000, 0.012, 6.941, 0.010
0.000, 0.011, 7.454, 0.010
0.000, 0.012, 7.333, 0.024
0.000, 0.011, 7.337, 0.024
0.000, 0.011, 7.138, 0.010
0.000, 0.011, 6.887, 0.010
0.000, 0.011, 7.150, 0.010
0.000, 0.011, 7.418, 0.026
0.000, 0.011, 7.045, 0.026
0.000, 0.011, 7.185, 0.011
Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query018_spj/query018_spj_0.sql...
0.002, 0.133, 19.705, 0.011
0.000, 0.012, 6.982, 0.010
0.000, 0.010, 7.112, 0.009
0.000, 0.033, 7.259, 0.024
0.000, 0.014, 6.739, 0.010
0.000, 0.011, 6.808, 0.010
0.000, 0.011, 6.971, 0.010
0.000, 0.011, 6.956, 0.028
0.000, 0.010, 7.030, 0.011
0.000, 0.011, 6.927, 0.011
0.000, 0.011, 6.814, 0.010
0.000, 0.011, 6.885, 0.010
0.000, 0.011, 7.635, 0.027
0.000, 0.011, 6.764, 0.010
0.000, 0.011, 6.717, 0.010
Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query019/query019_0.sql...
0.000, 0.036, 52.621, 0.010
0.000, 0.012, 5.484, 0.008
0.000, 0.011, 5.353, 0.007
0.000, 0.010, 5.460, 0.007
0.000, 0.014, 5.138, 0.009
0.000, 0.011, 5.382, 0.008
0.000, 0.011, 6.277, 0.008
0.000, 0.010, 5.409, 0.009
0.000, 0.011, 5.205, 0.007
0.000, 0.011, 5.624, 0.008
0.000, 0.011, 5.094, 0.007
0.000, 0.010, 5.294, 0.007
0.000, 0.011, 5.411, 0.022
0.000, 0.011, 5.359, 0.022
0.000, 0.010, 5.089, 0.007
Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query019_spj/query019_spj_0.sql...
0.001, 0.040, 5.162, 0.009
0.000, 0.010, 5.026, 0.008
0.000, 0.009, 5.127, 0.008
0.000, 0.010, 4.816, 0.008
0.000, 0.015, 4.962, 0.008
0.000, 0.010, 4.873, 0.008
0.000, 0.010, 4.823, 0.008
0.000, 0.009, 5.018, 0.010
0.000, 0.009, 4.745, 0.008
0.000, 0.010, 4.901, 0.008
0.000, 0.010, 4.989, 0.008
0.000, 0.009, 4.821, 0.008
0.000, 0.009, 5.235, 0.024
0.000, 0.009, 5.020, 0.008
0.000, 0.009, 4.793, 0.033
Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query025/query025_0.sql...
0.000, 0.030, 445.184, 0.010
0.000, 0.010, 4.121, 0.006
0.000, 0.009, 4.285, 0.007
0.000, 0.009, 3.714, 0.007
0.000, 0.012, 3.982, 0.006
0.000, 0.009, 3.851, 0.006
0.000, 0.009, 3.745, 0.006
0.000, 0.010, 4.178, 0.009
0.000, 0.009, 3.846, 0.006
0.000, 0.010, 4.675, 0.007
0.000, 0.009, 3.939, 0.006
0.000, 0.009, 4.219, 0.007
0.000, 0.009, 4.232, 0.022
0.000, 0.009, 3.755, 0.007
0.000, 0.009, 3.781, 0.007
Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query025_spj/query025_spj_0.sql...
0.001, 0.039, 4.180, 0.009
0.000, 0.009, 3.802, 0.008
0.000, 0.009, 4.126, 0.008
0.000, 0.008, 3.649, 0.007
0.000, 0.012, 3.932, 0.008
0.000, 0.008, 3.865, 0.007
0.000, 0.008, 3.783, 0.007
0.000, 0.009, 4.270, 0.027
0.000, 0.009, 3.666, 0.008
0.000, 0.009, 3.869, 0.008
0.000, 0.009, 3.707, 0.008
0.000, 0.009, 3.939, 0.008
0.000, 0.009, 4.218, 0.023
0.000, 0.009, 3.917, 0.008
0.000, 0.008, 4.759, 0.008
Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query027_spj/query027_spj_0.sql...
0.000, 0.023, 6.062, 0.009
0.000, 0.011, 5.837, 0.008
0.000, 0.008, 5.857, 0.008
0.000, 0.008, 5.693, 0.008
0.000, 0.012, 5.770, 0.008
0.000, 0.008, 5.771, 0.009
0.000, 0.008, 5.790, 0.008
0.000, 0.008, 6.069, 0.013
0.000, 0.009, 6.416, 0.008
0.000, 0.009, 5.771, 0.009
0.000, 0.009, 5.843, 0.008
0.000, 0.008, 6.038, 0.009
0.000, 0.009, 6.079, 0.009
0.000, 0.008, 6.623, 0.010
0.000, 0.009, 5.754, 0.008
Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query032/query032_0.sql...
0.000, 0.025, 44.282, 0.044
0.000, 0.009, 3.158, 0.007
0.000, 0.009, 3.129, 0.007
0.000, 0.009, 2.973, 0.007
0.000, 0.013, 3.086, 0.007
0.000, 0.009, 2.857, 0.007
0.000, 0.009, 3.217, 0.007
0.000, 0.010, 2.975, 0.010
0.000, 0.009, 2.939, 0.007
0.000, 0.010, 3.089, 0.007
0.000, 0.009, 2.953, 0.007
0.000, 0.009, 3.197, 0.007
