Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query018/query018_0.sql...
0.000, 0.161, 3.098, 0.001, 0.664, 0.030, 106.346, 1.153, 0.046, 0.023, 0.320, 0.022, 0.239, 0.674, 0.032, 0.011, 0.215, 0.033, 76.490, 174.828, 0.046
0.048, 0.012, 0.000, 0.000, 0.000, 0.000, 0.000, 0.398, 0.000, 0.000, 0.000, 0.000, 0.000, 0.418, 0.000, 0.000, 0.000, 1.413, 5.603, 0.011
0.004, 0.011, 0.000, 0.000, 0.000, 0.000, 0.000, 0.319, 0.000, 0.000, 0.000, 0.000, 0.000, 0.319, 0.000, 0.000, 0.000, 1.411, 5.210, 0.016
0.004, 0.011, 0.000, 0.000, 0.000, 0.000, 0.000, 0.234, 0.000, 0.000, 0.000, 0.000, 0.000, 0.287, 0.000, 0.000, 0.000, 1.442, 5.247, 0.014
0.005, 0.011, 0.000, 0.000, 0.000, 0.000, 0.000, 0.247, 0.000, 0.000, 0.000, 0.000, 0.000, 0.325, 0.000, 0.000, 0.000, 1.432, 5.060, 0.011
0.004, 0.011, 0.000, 0.000, 0.000, 0.000, 0.000, 0.392, 0.000, 0.000, 0.000, 0.000, 0.000, 0.323, 0.000, 0.000, 0.000, 1.434, 4.898, 0.011
0.004, 0.012, 0.000, 0.000, 0.000, 0.000, 0.000, 0.380, 0.000, 0.000, 0.000, 0.000, 0.000, 0.300, 0.000, 0.000, 0.000, 1.463, 5.084, 0.010
0.004, 0.011, 0.000, 0.000, 0.000, 0.000, 0.000, 0.286, 0.000, 0.000, 0.000, 0.000, 0.000, 0.308, 0.000, 0.000, 0.000, 1.414, 5.214, 0.010
0.005, 0.011, 0.000, 0.000, 0.000, 0.000, 0.000, 0.250, 0.000, 0.000, 0.000, 0.000, 0.000, 0.308, 0.000, 0.000, 0.000, 1.419, 5.826, 0.010
0.004, 0.011, 0.000, 0.000, 0.000, 0.000, 0.000, 0.229, 0.000, 0.000, 0.000, 0.000, 0.000, 0.313, 0.000, 0.000, 0.000, 1.404, 5.178, 0.010
0.004, 0.011, 0.000, 0.000, 0.000, 0.000, 0.000, 0.235, 0.000, 0.000, 0.000, 0.000, 0.000, 0.313, 0.000, 0.000, 0.000, 1.397, 5.137, 0.009
0.005, 0.011, 0.000, 0.000, 0.000, 0.000, 0.000, 0.225, 0.000, 0.000, 0.000, 0.000, 0.000, 0.320, 0.000, 0.000, 0.000, 1.448, 5.697, 0.010
0.004, 0.010, 0.000, 0.000, 0.000, 0.000, 0.000, 0.233, 0.000, 0.000, 0.000, 0.000, 0.000, 0.319, 0.000, 0.000, 0.000, 1.439, 5.169, 0.009
0.004, 0.010, 0.000, 0.000, 0.000, 0.000, 0.000, 0.272, 0.000, 0.000, 0.000, 0.000, 0.000, 0.353, 0.000, 0.000, 0.000, 1.370, 5.629, 0.010
0.004, 0.011, 0.000, 0.000, 0.000, 0.000, 0.000, 0.232, 0.000, 0.000, 0.000, 0.000, 0.000, 0.312, 0.000, 0.000, 0.000, 1.373, 5.366, 0.009
Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query018_spj/query018_spj_0.sql...
0.153, 0.000, 0.000, 0.000, 0.000, 0.000, 0.012, 3.944, 0.127, 0.069, 1.489, 0.105, 131.440, 0.496, 0.010
0.027, 0.013, 0.000, 0.000, 0.000, 0.000, 0.000, 0.324, 0.000, 0.000, 0.000, 0.000, 0.437, 0.007
0.027, 0.010, 0.000, 0.000, 0.000, 0.000, 0.000, 0.229, 0.000, 0.000, 0.000, 0.000, 0.413, 0.011
0.024, 0.015, 0.000, 0.000, 0.000, 0.000, 0.000, 0.229, 0.000, 0.000, 0.000, 0.000, 0.383, 0.007
0.024, 0.011, 0.000, 0.000, 0.000, 0.000, 0.000, 0.281, 0.000, 0.000, 0.000, 0.000, 0.394, 0.007
0.027, 0.011, 0.000, 0.000, 0.000, 0.000, 0.000, 0.244, 0.000, 0.000, 0.000, 0.000, 0.410, 0.007
0.027, 0.011, 0.000, 0.000, 0.000, 0.000, 0.000, 0.232, 0.000, 0.000, 0.000, 0.000, 0.387, 0.007
0.028, 0.011, 0.000, 0.000, 0.000, 0.000, 0.000, 0.317, 0.000, 0.000, 0.000, 0.000, 0.258, 0.008
0.023, 0.011, 0.000, 0.000, 0.000, 0.000, 0.000, 0.231, 0.000, 0.000, 0.000, 0.000, 0.447, 0.007
0.024, 0.010, 0.000, 0.000, 0.000, 0.000, 0.000, 0.289, 0.000, 0.000, 0.000, 0.000, 0.386, 0.008
0.046, 0.010, 0.000, 0.000, 0.000, 0.000, 0.000, 0.229, 0.000, 0.000, 0.000, 0.000, 0.428, 0.008
0.028, 0.015, 0.000, 0.000, 0.000, 0.000, 0.000, 0.222, 0.000, 0.000, 0.000, 0.000, 0.420, 0.007
0.024, 0.011, 0.000, 0.000, 0.000, 0.000, 0.000, 0.219, 0.000, 0.000, 0.000, 0.000, 0.375, 0.007
0.024, 0.010, 0.000, 0.000, 0.000, 0.000, 0.000, 0.256, 0.000, 0.000, 0.000, 0.000, 0.459, 0.024
0.023, 0.010, 0.000, 0.000, 0.000, 0.000, 0.000, 0.255, 0.000, 0.000, 0.000, 0.000, 0.429, 0.006
Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query019/query019_0.sql...
0.039, 0.000, 0.000, 0.000, 0.000, 0.000, 0.003, 0.469, 0.030, 0.010, 0.295, 0.027, 15.806, 188.138, 0.011
0.017, 0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.179, 0.000, 0.000, 0.000, 1.763, 4.248, 0.007
0.017, 0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.164, 0.000, 0.000, 0.000, 1.761, 3.897, 0.009
0.022, 0.012, 0.000, 0.000, 0.000, 0.000, 0.000, 0.169, 0.000, 0.000, 0.000, 1.821, 3.969, 0.008
0.018, 0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.152, 0.000, 0.000, 0.000, 1.792, 3.796, 0.008
0.017, 0.009, 0.000, 0.000, 0.000, 0.000, 0.000, 0.165, 0.000, 0.000, 0.000, 1.791, 3.857, 0.008
0.016, 0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.158, 0.000, 0.000, 0.000, 1.834, 4.693, 0.008
0.020, 0.008, 0.000, 0.000, 0.000, 0.000, 0.000, 0.197, 0.000, 0.000, 0.000, 1.803, 4.248, 0.007
0.016, 0.007, 0.000, 0.000, 0.000, 0.000, 0.000, 0.193, 0.000, 0.000, 0.000, 1.752, 3.929, 0.007
