Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query018/query018_0.sql...
0.000, 0.129, 3.224, 0.024, 0.748, 0.030, 42.430, 0.891, 0.049, 0.043, 0.507, 0.037, 0.449, 0.186, 0.024, 0.020, 0.335, 0.036, 38.417, 161.283, 0.048
0.031, 0.029, 0.475, 0.000, 0.347, 0.023, 2.324, 0.126, 0.025, 0.015, 0.261, 0.023, 0.214, 0.097, 0.013, 0.011, 0.199, 0.019, 1.317, 5.683, 0.025
0.025, 0.013, 0.437, 0.000, 0.354, 0.024, 2.333, 0.112, 0.026, 0.015, 0.266, 0.023, 0.216, 0.082, 0.013, 0.011, 0.193, 0.020, 1.379, 5.181, 0.011
0.026, 0.013, 0.440, 0.000, 0.352, 0.024, 2.358, 0.112, 0.026, 0.015, 0.269, 0.023, 0.216, 0.105, 0.017, 0.012, 0.192, 0.021, 1.387, 5.202, 0.012
0.054, 0.028, 0.474, 0.000, 0.344, 0.023, 2.301, 0.105, 0.026, 0.014, 0.261, 0.022, 0.211, 0.167, 0.013, 0.011, 0.203, 0.020, 1.325, 5.444, 0.011
0.026, 0.012, 0.441, 0.000, 0.358, 0.024, 2.361, 0.203, 0.016, 0.015, 0.269, 0.023, 0.220, 0.108, 0.014, 0.012, 0.193, 0.021, 1.382, 5.092, 0.011
0.027, 0.028, 0.461, 0.000, 0.345, 0.024, 2.324, 0.102, 0.027, 0.015, 0.265, 0.023, 0.213, 0.121, 0.033, 0.011, 0.198, 0.020, 1.336, 5.202, 0.011
0.027, 0.013, 0.437, 0.000, 0.352, 0.023, 2.294, 0.127, 0.012, 0.015, 0.267, 0.022, 0.212, 0.095, 0.014, 0.011, 0.194, 0.021, 1.423, 4.822, 0.011
0.027, 0.012, 0.465, 0.000, 0.350, 0.023, 2.307, 0.110, 0.038, 0.014, 0.259, 0.022, 0.213, 0.143, 0.013, 0.012, 0.191, 0.020, 1.414, 5.780, 0.011
0.026, 0.013, 0.445, 0.000, 0.354, 0.024, 2.348, 0.196, 0.014, 0.015, 0.271, 0.022, 0.220, 0.101, 0.015, 0.011, 0.193, 0.020, 1.386, 5.100, 0.011
0.026, 0.013, 0.424, 0.000, 0.398, 0.024, 2.279, 0.205, 0.013, 0.015, 0.264, 0.024, 0.214, 0.109, 0.013, 0.014, 0.191, 0.021, 1.431, 5.791, 0.011
0.054, 0.014, 0.466, 0.000, 0.346, 0.024, 2.311, 0.109, 0.040, 0.015, 0.261, 0.022, 0.209, 0.117, 0.033, 0.011, 0.200, 0.020, 1.314, 5.431, 0.011
0.026, 0.013, 0.452, 0.000, 0.352, 0.023, 2.289, 0.327, 0.014, 0.015, 0.271, 0.032, 0.236, 0.092, 0.013, 0.011, 0.190, 0.021, 1.373, 4.839, 0.011
0.026, 0.013, 0.453, 0.000, 0.347, 0.024, 2.282, 0.104, 0.027, 0.015, 0.263, 0.023, 0.214, 0.121, 0.028, 0.024, 0.204, 0.020, 1.332, 6.023, 0.011
0.027, 0.014, 0.440, 0.000, 0.394, 0.024, 2.307, 0.103, 0.026, 0.015, 0.265, 0.022, 0.213, 0.095, 0.015, 0.014, 0.192, 0.021, 1.435, 5.152, 0.015
Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query018_spj/query018_spj_0.sql...
0.181, 0.000, 0.000, 0.000, 0.000, 0.000, 0.014, 0.279, 0.067, 0.083, 1.508, 0.106, 89.939, 0.508, 0.011
0.044, 0.000, 0.000, 0.000, 0.000, 0.000, 0.003, 0.275, 0.074, 0.021, 0.313, 0.023, 4.944, 0.419, 0.010
0.037, 0.000, 0.000, 0.000, 0.000, 0.000, 0.003, 0.165, 0.013, 0.018, 0.284, 0.020, 4.931, 0.342, 0.009
0.041, 0.000, 0.000, 0.000, 0.000, 0.000, 0.003, 0.093, 0.027, 0.018, 0.303, 0.021, 4.977, 0.344, 0.010
0.039, 0.000, 0.000, 0.000, 0.000, 0.000, 0.016, 0.097, 0.012, 0.017, 0.282, 0.020, 4.918, 0.372, 0.009
0.040, 0.000, 0.000, 0.000, 0.000, 0.000, 0.003, 0.103, 0.025, 0.019, 0.284, 0.021, 5.063, 0.303, 0.010
0.061, 0.000, 0.000, 0.000, 0.000, 0.000, 0.003, 0.093, 0.025, 0.018, 0.294, 0.020, 4.869, 0.370, 0.023
0.039, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 0.102, 0.025, 0.018, 0.284, 0.020, 4.955, 0.341, 0.010
0.042, 0.000, 0.000, 0.000, 0.000, 0.000, 0.003, 0.102, 0.025, 0.017, 0.278, 0.021, 4.954, 0.394, 0.009
0.038, 0.000, 0.000, 0.000, 0.000, 0.000, 0.004, 0.088, 0.012, 0.019, 0.287, 0.020, 4.990, 0.338, 0.010
0.039, 0.000, 0.000, 0.000, 0.000, 0.000, 0.003, 0.091, 0.025, 0.018, 0.283, 0.020, 4.995, 0.353, 0.009
0.038, 0.000, 0.000, 0.000, 0.000, 0.000, 0.003, 0.085, 0.025, 0.018, 0.282, 0.020, 4.823, 0.396, 0.022
0.041, 0.000, 0.000, 0.000, 0.000, 0.000, 0.003, 0.088, 0.025, 0.017, 0.280, 0.020, 5.000, 0.340, 0.009
0.038, 0.000, 0.000, 0.000, 0.000, 0.000, 0.003, 0.152, 0.011, 0.018, 0.298, 0.021, 4.880, 0.359, 0.009
0.039, 0.000, 0.000, 0.000, 0.000, 0.000, 0.003, 0.077, 0.012, 0.023, 0.480, 0.020, 5.027, 0.315, 0.014
Running benchmark for /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_aqp/1/query019/query019_0.sql...
0.042, 0.000, 0.000, 0.000, 0.000, 0.000, 0.002, 0.243, 0.013, 0.019, 0.344, 0.023, 1.793, 179.517, 0.018
0.068, 0.000, 0.000, 0.000, 0.000, 0.000, 0.015, 0.066, 0.012, 0.032, 0.447, 0.021, 1.622, 4.174, 0.010
0.037, 0.000, 0.000, 0.000, 0.000, 0.000, 0.003, 0.094, 0.025, 0.015, 0.286, 0.020, 1.723, 4.039, 0.008
0.036, 0.000, 0.000, 0.000, 0.000, 0.000, 0.003, 0.091, 0.025, 0.014, 0.306, 0.021, 3.094, 6.739, 0.009
0.036, 0.000, 0.000, 0.000, 0.000, 0.000, 0.002, 0.076, 0.011, 0.014, 0.293, 0.034, 1.671, 3.919, 0.008
0.035, 0.000, 0.000, 0.000, 0.000, 0.000, 0.002, 0.075, 0.011, 0.015, 0.288, 0.021, 1.723, 3.864, 0.008
