Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
9.604, 0.019, 0.448, 0.058, 0.392, 1.221, 0.042, 0.444, 89.957, 0.052, 0.031, 0.010, 0.683, 388.394, 389.201, 0.021
9.805, 0.018, 0.458, 0.058, 0.441, 1.204, 0.044, 0.451, 90.650, 0.050, 0.031, 0.012, 0.654, 388.037, 388.819, 0.037
9.620, 0.018, 0.457, 0.169, 0.387, 1.184, 0.043, 0.445, 89.767, 0.067, 0.030, 0.010, 0.655, 395.367, 396.162, 0.038
9.683, 0.018, 0.444, 0.057, 0.386, 1.230, 0.042, 0.448, 90.514, 0.054, 0.053, 0.023, 0.653, 396.371, 397.165, 0.036
9.605, 0.017, 0.447, 0.057, 0.496, 1.171, 0.046, 0.436, 89.327, 0.053, 0.031, 0.011, 0.684, 396.073, 396.888, 0.037
9.761, 0.018, 0.451, 0.058, 0.387, 1.245, 0.043, 0.450, 89.888, 0.054, 0.031, 0.011, 0.688, 394.616, 395.434, 0.037
9.730, 0.018, 0.443, 0.056, 0.386, 1.171, 0.042, 0.444, 89.525, 0.055, 0.030, 0.010, 0.652, 395.599, 396.384, 0.037
9.770, 0.017, 0.490, 0.058, 0.388, 1.181, 0.042, 0.445, 90.072, 0.053, 0.031, 0.011, 0.653, 397.429, 398.221, 0.036
9.717, 0.018, 0.437, 0.057, 0.388, 1.162, 0.042, 0.447, 89.417, 0.052, 0.031, 0.011, 0.646, 394.158, 394.936, 0.037
9.709, 0.017, 0.445, 0.058, 0.386, 1.240, 0.043, 0.442, 89.961, 0.052, 0.031, 0.011, 0.686, 396.621, 397.441, 0.035
9.676, 0.018, 0.448, 0.057, 0.452, 1.172, 0.042, 0.442, 89.434, 0.054, 0.030, 0.011, 0.676, 387.056, 387.857, 0.037
9.716, 0.017, 0.449, 0.057, 0.388, 1.181, 0.046, 0.508, 90.054, 0.052, 0.031, 0.011, 0.646, 395.263, 396.045, 0.037
9.723, 0.019, 0.451, 0.059, 0.386, 1.169, 0.045, 0.441, 89.913, 0.053, 0.030, 0.011, 0.656, 392.740, 393.534, 0.038
9.746, 0.018, 0.447, 0.058, 0.388, 1.175, 0.045, 0.444, 89.896, 0.053, 0.032, 0.011, 0.654, 397.016, 397.795, 0.039
9.733, 0.018, 0.450, 0.057, 0.385, 1.167, 0.046, 0.489, 89.315, 0.055, 0.032, 0.011, 0.646, 395.505, 396.282, 0.038
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10b.sql...
9.715, 0.017, 0.433, 0.057, 0.385, 1.179, 0.085, 0.440, 70.279, 0.053, 0.031, 0.011, 0.616, 305.845, 306.575, 0.036
9.544, 0.018, 0.425, 0.057, 0.439, 1.170, 0.045, 0.438, 70.009, 0.049, 0.031, 0.010, 0.648, 305.971, 306.733, 0.037
9.792, 0.017, 0.428, 0.057, 0.385, 1.177, 0.043, 0.444, 70.345, 0.053, 0.030, 0.010, 0.616, 296.763, 297.492, 0.037
9.667, 0.018, 0.426, 0.056, 0.384, 1.171, 0.042, 0.444, 70.117, 0.054, 0.030, 0.011, 0.610, 306.015, 306.740, 0.036
9.620, 0.019, 0.432, 0.056, 0.383, 1.235, 0.045, 0.436, 69.648, 0.054, 0.029, 0.010, 0.615, 298.582, 299.313, 0.037
9.582, 0.018, 0.527, 0.060, 0.383, 1.172, 0.041, 0.443, 69.838, 0.056, 0.030, 0.011, 0.617, 303.989, 304.724, 0.038
9.652, 0.017, 0.431, 0.059, 0.449, 1.182, 0.042, 0.448, 70.487, 0.052, 0.032, 0.011, 0.617, 306.820, 307.583, 0.037
9.654, 0.018, 0.432, 0.056, 0.389, 1.203, 0.070, 0.438, 69.585, 0.053, 0.030, 0.010, 0.616, 306.788, 307.522, 0.038
9.628, 0.019, 0.536, 0.056, 0.386, 1.182, 0.043, 0.445, 70.528, 0.054, 0.033, 0.011, 0.623, 307.277, 308.018, 0.037
9.554, 0.018, 0.423, 0.058, 0.421, 1.187, 0.042, 0.438, 69.700, 0.051, 0.031, 0.011, 0.653, 306.697, 307.467, 0.037
9.754, 0.017, 0.428, 0.063, 0.384, 1.177, 0.042, 0.444, 70.451, 0.053, 0.031, 0.010, 0.615, 305.819, 306.550, 0.037
9.605, 0.017, 0.425, 0.056, 0.384, 1.284, 0.045, 0.444, 69.693, 0.052, 0.031, 0.011, 0.615, 307.238, 307.970, 0.038
9.730, 0.018, 0.431, 0.057, 0.383, 1.188, 0.043, 0.441, 70.289, 0.052, 0.031, 0.011, 0.611, 307.973, 308.701, 0.036
9.663, 0.018, 0.428, 0.057, 0.384, 1.168, 0.045, 0.438, 70.048, 0.052, 0.031, 0.010, 0.615, 305.975, 306.704, 0.037
9.602, 0.017, 0.422, 0.056, 0.383, 1.221, 0.042, 0.442, 69.542, 0.052, 0.030, 0.011, 0.616, 297.444, 298.175, 0.037
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10c.sql...
9.591, 0.017, 0.431, 0.056, 0.384, 1.175, 0.043, 0.434, 196.506, 0.051, 0.032, 0.010, 8.348, 1690.134, 1698.603, 0.036
9.671, 0.018, 0.425, 0.056, 0.383, 1.245, 0.046, 0.439, 196.049, 0.053, 0.030, 0.010, 8.354, 1668.273, 1676.747, 0.038
9.666, 0.018, 0.431, 0.057, 0.453, 1.185, 0.042, 0.447, 197.558, 0.053, 0.031, 0.010, 8.486, 1695.207, 1703.816, 0.036
9.637, 0.017, 0.423, 0.057, 0.388, 1.173, 0.042, 0.434, 195.961, 0.053, 0.030, 0.009, 8.373, 1679.337, 1687.832, 0.036
9.576, 0.018, 0.466, 0.059, 0.385, 1.185, 0.045, 0.441, 194.850, 0.055, 0.030, 0.010, 8.352, 1691.751, 1700.229, 0.037
9.652, 0.018, 0.429, 0.057, 0.385, 1.254, 0.045, 0.443, 196.517, 0.053, 0.030, 0.010, 8.365, 1684.867, 1693.353, 0.035
9.794, 0.017, 0.429, 0.056, 0.384, 1.170, 0.045, 0.436, 195.597, 0.054, 0.030, 0.009, 8.345, 1689.886, 1698.353, 0.037
9.664, 0.017, 0.429, 0.060, 0.384, 1.292, 0.043, 0.446, 196.780, 0.051, 0.031, 0.009, 8.426, 1696.949, 1705.493, 0.035
9.613, 0.017, 0.489, 0.056, 0.388, 1.177, 0.042, 0.442, 195.510, 0.052, 0.030, 0.009, 8.417, 1667.961, 1676.498, 0.035
9.619, 0.018, 0.429, 0.057, 0.386, 1.179, 0.043, 0.438, 195.931, 0.053, 0.030, 0.011, 8.385, 1680.620, 1689.129, 0.036
9.759, 0.018, 0.420, 0.057, 0.385, 1.175, 0.043, 0.438, 194.779, 0.053, 0.029, 0.010, 8.378, 1666.988, 1675.486, 0.036
9.676, 0.019, 0.424, 0.059, 0.384, 1.237, 0.042, 0.440, 195.569, 0.054, 0.030, 0.010, 8.384, 1685.202, 1693.704, 0.036
9.663, 0.018, 0.431, 0.057, 0.384, 1.187, 0.042, 0.448, 196.820, 0.053, 0.030, 0.010, 8.413, 1672.770, 1681.305, 0.040
9.704, 0.017, 0.429, 0.059, 0.386, 1.170, 0.042, 0.552, 194.688, 0.053, 0.030, 0.010, 8.340, 1662.747, 1671.205, 0.037
9.675, 0.018, 0.431, 0.057, 0.385, 1.251, 0.041, 0.445, 197.489, 0.055, 0.030, 0.010, 8.447, 1682.231, 1690.800, 0.036
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/11a.sql...
9.722, 0.018, 0.505, 0.064, 0.386, 1.417, 0.038, 0.407, 9.254, 0.048, 0.038, 0.760, 0.033, 0.485, 13.467, 0.050, 0.027, 0.010, 0.518, 18.977, 19.615, 0.038
9.620, 0.018, 0.497, 0.168, 0.387, 1.407, 0.038, 0.400, 9.137, 0.044, 0.036, 0.802, 0.032, 0.480, 13.326, 0.048, 0.027, 0.011, 0.464, 18.882, 19.471, 0.037
9.631, 0.017, 0.500, 0.063, 0.388, 1.470, 0.038, 0.405, 9.263, 0.046, 0.037, 0.765, 0.033, 0.484, 13.617, 0.048, 0.028, 0.010, 0.474, 18.999, 19.593, 0.037
9.729, 0.018, 0.499, 0.066, 0.388, 1.454, 0.064, 0.403, 9.282, 0.045, 0.039, 0.755, 0.032, 0.482, 13.410, 0.048, 0.027, 0.011, 0.461, 19.015, 19.588, 0.037
9.768, 0.019, 0.518, 0.065, 0.395, 1.448, 0.038, 0.416, 9.532, 0.046, 0.038, 0.767, 0.034, 0.493, 13.618, 0.050, 0.027, 0.011, 0.475, 19.218, 19.810, 0.021
9.794, 0.017, 0.506, 0.066, 0.396, 1.425, 0.038, 0.412, 9.360, 0.047, 0.038, 0.771, 0.032, 0.490, 13.437, 0.050, 0.027, 0.010, 0.520, 19.033, 19.669, 0.038
9.695, 0.019, 0.563, 0.064, 0.387, 1.430, 0.039, 0.405, 9.322, 0.044, 0.036, 0.754, 0.033, 0.484, 13.473, 0.051, 0.027, 0.011, 0.471, 18.975, 19.562, 0.038
9.603, 0.018, 0.510, 0.062, 0.386, 1.470, 0.038, 0.399, 9.161, 0.044, 0.036, 0.751, 0.032, 0.584, 13.270, 0.049, 0.026, 0.010, 0.469, 19.009, 19.594, 0.037
9.719, 0.018, 0.517, 0.064, 0.388, 1.474, 0.041, 0.402, 9.309, 0.039, 0.038, 0.738, 0.032, 0.482, 13.415, 0.049, 0.027, 0.011, 0.465, 19.205, 19.784, 0.037
9.761, 0.019, 0.509, 0.065, 0.387, 1.421, 0.042, 0.441, 9.269, 0.046, 0.038, 0.758, 0.034, 0.485, 13.334, 0.049, 0.027, 0.012, 0.463, 18.918, 19.489, 0.040
9.598, 0.019, 0.616, 0.063, 0.387, 1.413, 0.037, 0.403, 9.258, 0.046, 0.037, 0.759, 0.032, 0.482, 13.363, 0.049, 0.027, 0.011, 0.465, 18.844, 19.423, 0.039
9.768, 0.018, 0.510, 0.064, 0.412, 1.427, 0.038, 0.404, 9.266, 0.044, 0.037, 0.790, 0.034, 0.485, 13.263, 0.051, 0.026, 0.010, 0.464, 18.890, 19.471, 0.037
9.757, 0.018, 0.503, 0.066, 0.389, 1.518, 0.037, 0.407, 9.181, 0.044, 0.036, 0.753, 0.032, 0.481, 13.475, 0.049, 0.026, 0.011, 0.465, 18.908, 19.489, 0.035
9.760, 0.018, 0.506, 0.063, 0.393, 1.424, 0.039, 0.406, 9.409, 0.047, 0.037, 0.756, 0.033, 0.482, 13.361, 0.049, 0.027, 0.011, 0.470, 18.943, 19.530, 0.039
9.623, 0.018, 0.489, 0.062, 0.387, 1.398, 0.041, 0.398, 9.142, 0.046, 0.037, 0.822, 0.033, 0.482, 13.215, 0.047, 0.026, 0.011, 0.458, 18.795, 19.365, 0.037
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/11b.sql...
9.684, 0.018, 0.508, 0.068, 0.391, 1.424, 0.038, 0.416, 38.197, 0.054, 0.038, 0.778, 0.033, 0.492, 9.131, 0.031, 0.023, 0.009, 0.405, 18.929, 19.444, 0.038
9.588, 0.017, 0.504, 0.101, 0.385, 1.411, 0.038, 0.414, 38.129, 0.053, 0.039, 0.769, 0.032, 0.488, 9.138, 0.032, 0.023, 0.009, 0.406, 18.812, 19.328, 0.038
9.660, 0.017, 0.508, 0.062, 0.450, 1.418, 0.040, 0.410, 38.206, 0.052, 0.038, 0.770, 0.032, 0.493, 9.202, 0.035, 0.024, 0.009, 0.411, 19.132, 19.652, 0.035
9.630, 0.018, 0.509, 0.107, 0.386, 1.408, 0.040, 0.411, 37.609, 0.105, 0.039, 0.766, 0.033, 0.488, 9.214, 0.030, 0.022, 0.009, 0.400, 18.701, 19.212, 0.037
9.654, 0.017, 0.509, 0.062, 0.385, 1.476, 0.038, 0.417, 38.191, 0.054, 0.038, 0.835, 0.033, 0.492, 9.188, 0.032, 0.023, 0.009, 0.406, 19.070, 19.589, 0.038
9.655, 0.018, 0.513, 0.063, 0.389, 1.475, 0.038, 0.415, 38.188, 0.053, 0.039, 0.776, 0.032, 0.503, 9.228, 0.031, 0.023, 0.008, 0.412, 19.091, 19.612, 0.037
9.685, 0.018, 0.509, 0.062, 0.453, 1.422, 0.041, 0.417, 38.265, 0.052, 0.039, 0.772, 0.034, 0.491, 9.332, 0.032, 0.024, 0.009, 0.409, 19.004, 19.525, 0.039
9.665, 0.018, 0.502, 0.114, 0.388, 1.419, 0.037, 0.414, 38.077, 0.053, 0.038, 0.770, 0.033, 0.491, 9.306, 0.031, 0.023, 0.009, 0.400, 18.955, 19.464, 0.036
9.664, 0.018, 0.507, 0.097, 0.394, 1.436, 0.038, 0.422, 38.102, 0.053, 0.038, 0.769, 0.032, 0.487, 9.146, 0.030, 0.023, 0.009, 0.404, 18.819, 19.331, 0.036
9.652, 0.018, 0.505, 0.181, 0.387, 1.414, 0.040, 0.409, 37.789, 0.054, 0.038, 0.766, 0.033, 0.486, 9.096, 0.030, 0.022, 0.009, 0.401, 18.852, 19.361, 0.039
9.579, 0.018, 0.500, 0.063, 0.581, 1.406, 0.039, 0.409, 37.458, 0.054, 0.037, 0.831, 0.033, 0.484, 9.246, 0.032, 0.022, 0.009, 0.402, 18.740, 19.250, 0.038
9.656, 0.018, 0.507, 0.064, 0.386, 1.489, 0.041, 0.412, 38.335, 0.054, 0.039, 0.813, 0.033, 0.490, 9.203, 0.030, 0.023, 0.009, 0.402, 18.947, 19.462, 0.037
9.654, 0.018, 0.505, 0.062, 0.388, 1.470, 0.037, 0.411, 37.996, 0.052, 0.037, 0.847, 0.032, 0.490, 9.164, 0.031, 0.023, 0.009, 0.402, 18.871, 19.382, 0.037
9.693, 0.017, 0.508, 0.062, 0.392, 1.485, 0.038, 0.415, 38.609, 0.082, 0.038, 0.772, 0.032, 0.490, 9.201, 0.030, 0.023, 0.009, 0.408, 19.068, 19.588, 0.036
9.616, 0.017, 0.501, 0.063, 0.453, 1.413, 0.040, 0.409, 38.104, 0.054, 0.039, 0.765, 0.034, 0.488, 9.361, 0.033, 0.024, 0.009, 0.405, 18.879, 19.397, 0.038
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/11c.sql...
9.704, 0.017, 0.497, 0.058, 0.387, 1.401, 0.040, 0.337, 13.533, 0.049, 0.036, 0.743, 0.033, 0.488, 23.059, 0.050, 0.028, 0.011, 8.983, 7.274, 16.370, 0.038
9.817, 0.018, 0.504, 0.061, 0.394, 1.472, 0.037, 0.350, 13.716, 0.049, 0.037, 0.801, 0.033, 0.499, 23.271, 0.053, 0.027, 0.011, 9.171, 7.202, 16.490, 0.021
9.842, 0.018, 0.505, 0.061, 0.396, 1.532, 0.037, 0.352, 13.667, 0.047, 0.036, 0.750, 0.033, 0.490, 23.325, 0.050, 0.027, 0.012, 9.140, 7.117, 16.374, 0.035
