Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
0.000, 0.116, 47.903, 2254.649, 0.026
0.060, 0.011, 1.472, 44.428, 0.026
0.047, 0.012, 1.474, 43.913, 0.011
0.047, 0.012, 1.417, 44.586, 0.012
0.047, 0.011, 1.429, 44.043, 0.011
0.072, 0.013, 1.637, 45.110, 0.026
0.048, 0.011, 1.429, 44.311, 0.026
0.059, 0.012, 1.453, 46.198, 0.026
0.060, 0.011, 1.520, 45.144, 0.026
0.062, 0.011, 1.496, 46.036, 0.026
0.046, 0.011, 1.530, 45.587, 0.027
0.060, 0.011, 1.464, 44.431, 0.027
0.049, 0.012, 1.415, 44.167, 0.011
0.061, 0.011, 1.418, 45.417, 0.026
0.044, 0.025, 1.421, 44.953, 0.026
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10b.sql...
0.046, 0.031, 1.491, 42.903, 0.026
0.036, 0.012, 1.484, 40.621, 0.011
0.036, 0.012, 1.389, 39.729, 0.011
0.035, 0.012, 1.379, 39.688, 0.011
0.036, 0.012, 1.388, 39.843, 0.012
0.037, 0.011, 1.426, 39.878, 0.011
0.038, 0.024, 1.446, 39.763, 0.026
0.036, 0.012, 1.426, 39.674, 0.026
0.037, 0.011, 1.448, 40.028, 0.010
0.037, 0.011, 1.437, 39.613, 0.011
0.036, 0.012, 1.435, 40.614, 0.011
0.037, 0.012, 1.457, 40.464, 0.011
0.036, 0.012, 1.465, 40.703, 0.011
0.038, 0.011, 1.488, 40.800, 0.026
0.036, 0.011, 1.464, 39.706, 0.011
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10c.sql...
0.032, 0.032, 1.194, 1587.940, 0.017
0.036, 0.012, 1.159, 158.532, 0.011
0.033, 0.012, 1.139, 160.635, 0.011
0.032, 0.012, 1.130, 156.025, 0.011
0.032, 0.012, 1.187, 159.229, 0.012
0.034, 0.011, 1.135, 157.638, 0.011
0.035, 0.011, 1.173, 156.681, 0.012
0.033, 0.011, 1.302, 160.193, 0.012
0.034, 0.012, 1.194, 159.304, 0.012
0.034, 0.011, 1.202, 158.427, 0.012
0.034, 0.011, 1.135, 159.180, 0.011
0.034, 0.011, 1.139, 160.304, 0.013
0.034, 0.011, 1.138, 157.796, 0.011
0.035, 0.011, 1.162, 159.888, 0.011
0.034, 0.011, 1.130, 160.612, 0.011
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/11a.sql...
0.020, 0.043, 4.377, 137.425, 0.041
0.016, 0.011, 2.533, 10.348, 0.010
0.015, 0.012, 2.522, 10.047, 0.026
0.015, 0.013, 2.623, 10.116, 0.025
0.016, 0.012, 2.596, 10.089, 0.026
0.015, 0.012, 2.576, 9.645, 0.010
0.016, 0.011, 2.578, 10.226, 0.026
0.016, 0.012, 2.603, 10.531, 0.026
0.015, 0.012, 2.589, 10.030, 0.025
0.016, 0.012, 2.647, 10.258, 0.010
0.016, 0.011, 2.528, 9.721, 0.011
0.014, 0.012, 2.593, 9.835, 0.010
0.016, 0.012, 2.577, 10.007, 0.025
0.016, 0.012, 2.595, 10.017, 0.025
0.016, 0.012, 2.637, 9.697, 0.010
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/11b.sql...
0.166, 0.134, 10.029, 12.115, 0.011
0.036, 0.012, 2.489, 9.092, 0.026
0.034, 0.011, 2.432, 8.748, 0.026
0.035, 0.010, 2.433, 8.719, 0.026
0.034, 0.012, 2.443, 8.745, 0.011
0.037, 0.011, 2.455, 8.674, 0.011
0.036, 0.024, 2.482, 8.940, 0.026
0.035, 0.011, 2.530, 8.998, 0.026
0.036, 0.011, 2.473, 9.024, 0.026
0.035, 0.011, 2.415, 8.583, 0.012
0.034, 0.011, 2.408, 8.933, 0.011
0.035, 0.011, 2.416, 8.814, 0.011
0.038, 0.011, 2.411, 8.934, 0.026
0.036, 0.010, 2.481, 8.807, 0.026
0.037, 0.010, 2.462, 8.676, 0.011
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/11c.sql...
0.043, 0.030, 2.705, 94.089, 0.012
0.045, 0.012, 2.798, 92.968, 0.012
0.045, 0.011, 2.774, 92.672, 0.012
0.046, 0.012, 2.740, 96.530, 0.012
0.111, 0.012, 2.700, 105.010, 0.011
0.043, 0.012, 2.663, 94.349, 0.012
0.043, 0.011, 2.719, 96.025, 0.011
0.041, 0.011, 2.784, 99.884, 0.012
0.041, 0.012, 2.724, 98.336, 0.012
0.042, 0.011, 2.728, 96.556, 0.011
0.039, 0.011, 2.659, 105.166, 0.027
0.040, 0.011, 2.777, 92.098, 0.011
0.045, 0.011, 2.658, 122.447, 0.016
0.046, 0.012, 2.771, 110.845, 0.011
0.043, 0.011, 2.733, 119.140, 0.012
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/11d.sql...
0.049, 0.032, 2.509, 249.967, 0.026
0.047, 0.013, 2.545, 260.133, 0.026
0.047, 0.012, 2.560, 252.401, 0.026
0.051, 0.011, 2.563, 304.469, 0.026
0.047, 0.012, 2.586, 311.308, 0.028
0.050, 0.012, 2.560, 257.455, 0.027
0.050, 0.012, 2.564, 299.373, 0.027
0.050, 0.012, 2.589, 255.441, 0.027
0.048, 0.012, 2.594, 248.125, 0.027
0.046, 0.012, 2.623, 305.315, 0.026
0.049, 0.012, 2.594, 279.574, 0.026
0.047, 0.011, 2.553, 246.153, 0.026
0.051, 0.012, 2.615, 264.226, 0.027
0.050, 0.012, 2.549, 281.730, 0.026
0.048, 0.012, 2.559, 332.553, 0.027
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/12a.sql...
0.044, 0.030, 2.585, 197.534, 0.057
0.050, 0.012, 2.655, 21.477, 0.012
0.049, 0.013, 2.655, 22.474, 0.026
0.052, 0.012, 2.634, 20.783, 0.026
0.050, 0.012, 2.684, 21.198, 0.027
0.050, 0.012, 2.616, 21.065, 0.026
0.050, 0.025, 2.620, 21.234, 0.026
0.048, 0.024, 2.599, 21.400, 0.027
0.049, 0.012, 2.592, 21.001, 0.011
0.051, 0.013, 2.629, 22.608, 0.011
0.049, 0.013, 2.626, 21.117, 0.011
0.046, 0.011, 2.621, 23.041, 0.026
0.052, 0.012, 2.607, 21.364, 0.026
0.050, 0.012, 2.655, 20.987, 0.026
0.052, 0.013, 2.621, 21.545, 0.027
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/12b.sql...
0.210, 0.103, 10.028, 138.821, 0.029
0.056, 0.013, 2.380, 35.291, 0.011
0.061, 0.011, 2.408, 35.666, 0.027
0.058, 0.011, 2.474, 36.740, 0.026
0.057, 0.012, 2.486, 34.434, 0.012
0.057, 0.011, 2.440, 34.742, 0.011
0.060, 0.011, 2.452, 35.302, 0.012
0.055, 0.011, 2.392, 36.198, 0.011
0.054, 0.012, 2.339, 36.508, 0.011
0.054, 0.012, 2.367, 39.988, 0.027
0.055, 0.011, 2.389, 34.702, 0.011
0.057, 0.011, 2.453, 35.031, 0.011
0.057, 0.011, 2.407, 35.698, 0.011
0.056, 0.012, 2.466, 34.153, 0.011
0.057, 0.011, 2.400, 35.832, 0.011
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/12c.sql...
0.129, 0.071, 7.709, 51.228, 0.011
0.043, 0.012, 2.592, 30.223, 0.011
0.045, 0.012, 2.723, 30.276, 0.011
0.045, 0.012, 2.730, 29.859, 0.012
0.044, 0.012, 2.654, 28.883, 0.011
0.045, 0.012, 2.632, 28.603, 0.011
0.044, 0.012, 2.609, 30.270, 0.011
0.043, 0.011, 2.628, 29.502, 0.011
0.043, 0.012, 2.611, 29.374, 0.011
0.044, 0.012, 2.680, 29.777, 0.026
0.044, 0.011, 2.596, 29.134, 0.011
0.045, 0.011, 2.637, 30.062, 0.011
0.045, 0.012, 2.590, 30.042, 0.011
0.044, 0.011, 2.632, 29.545, 0.011
0.045, 0.012, 2.656, 31.083, 0.011
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/13a.sql...
0.072, 0.029, 2.857, 315.711, 0.031
0.057, 0.012, 2.953, 22.993, 0.012
0.062, 0.012, 2.939, 21.971, 0.011
0.059, 0.012, 2.944, 23.052, 0.012
0.055, 0.011, 2.897, 22.302, 0.011
0.057, 0.012, 2.948, 22.427, 0.012
0.059, 0.011, 2.934, 23.264, 0.012
0.055, 0.011, 2.938, 23.164, 0.011
0.056, 0.012, 2.881, 23.566, 0.011
0.057, 0.011, 2.916, 22.215, 0.011
0.057, 0.011, 2.879, 21.912, 0.012
0.056, 0.012, 2.883, 22.907, 0.011
0.060, 0.012, 2.884, 22.521, 0.011
0.058, 0.011, 2.955, 22.792, 0.011
0.055, 0.011, 2.966, 22.565, 0.013
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/13b.sql...
0.158, 0.080, 9.369, 58.616, 0.011
0.045, 0.013, 3.366, 49.225, 0.012
0.047, 0.011, 3.354, 45.998, 0.012
0.046, 0.011, 3.358, 46.772, 0.011
0.046, 0.011, 3.306, 46.594, 0.012
0.045, 0.012, 3.298, 45.739, 0.012
0.046, 0.012, 3.298, 46.364, 0.012
0.048, 0.012, 3.355, 45.246, 0.011
0.045, 0.012, 3.413, 45.361, 0.012
0.049, 0.011, 3.370, 46.019, 0.011
0.046, 0.012, 3.354, 44.680, 0.012
0.047, 0.012, 3.336, 44.979, 0.012
