Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.107, , 0.475, 0.658, 0.284, 0.167, , , , , 0.182, 0.130, 0.022, 18.374, 20.399
0.168, , 0.432, 0.615, 0.322, 0.171, , , , , 0.175, 0.133, 0.022, 20.496, 22.534
0.186, , 0.584, 0.610, 0.340, 0.176, , , , , 0.181, 0.151, 0.021, 115.559, 117.808
1.203, , 0.439, 0.581, 0.319, 0.163, , , , , 0.160, 0.133, 0.021, 2.056, 5.075
0.111, , 0.397, 1.675, 0.302, 0.172, , , , , 0.173, 0.130, 0.018, 0.820, 3.798
0.213, 0.447, 0.352, 0.630, 0.388, 0.158, , , , , 0.165, 0.146, 0.019, 1.691, 4.209
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.130, , 0.572, 0.611, 0.270, 0.152, , , , , 0.150, 0.129, 0.024, 18.226, 20.264
0.167, , 0.620, 0.616, 0.329, 0.180, , , , , 0.180, 0.137, 0.020, 21.892, 24.141
0.149, , 0.517, 0.641, 0.340, 0.177, , , , , 0.246, 0.151, 0.021, 115.778, 118.020
0.131, , 0.514, 0.576, 0.311, 0.160, , , , , 0.167, 0.134, 0.024, 0.565, 2.582
0.106, , 0.617, 1.071, 0.470, 0.173, , , , , 0.179, 0.130, 0.016, 0.903, 3.665
0.289, 0.613, 0.376, 0.654, 0.402, 0.162, , , , , 0.169, 0.155, 0.017, 1.642, 4.479
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.212, , 0.639, 0.614, 0.288, 0.148, , , , , 0.147, 0.119, 0.020, 18.065, 20.252
0.150, , 0.504, 0.626, 0.328, 0.173, , , , , 0.179, 0.133, 0.020, 20.482, 22.595
0.101, , 0.507, 0.648, 0.353, 0.185, , , , , 0.184, 0.155, 0.021, 115.478, 117.632
0.254, , 0.446, 0.692, 0.324, 0.163, , , , , 0.170, 0.132, 0.018, 0.854, 3.053
0.112, , 0.491, 0.573, 0.348, 0.169, , , , , 0.177, 0.126, 0.017, 1.031, 3.044
0.269, 0.505, 0.342, 0.641, 0.445, 0.160, , , , , 0.173, 0.147, 0.020, 1.617, 4.319
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.133, , 1.241, 0.620, 0.304, 0.183, , , , , 0.154, 0.121, 0.021, 18.255, 21.032
0.158, , 0.654, 0.595, 0.324, 0.180, , , , , 0.179, 0.136, 0.020, 16.985, 19.231
0.101, , 0.477, 1.006, 0.358, 0.184, , , , , 0.191, 0.156, 0.021, 115.367, 117.861
0.126, , 0.437, 0.749, 0.310, 0.161, , , , , 0.166, 0.133, 0.020, 0.606, 2.708
0.102, , 0.371, 1.096, 0.362, 0.165, , , , , 0.178, 0.130, 0.017, 0.889, 3.310
0.280, 0.578, 0.345, 0.642, 0.446, 0.154, , , , , 0.167, 0.145, 0.017, 1.676, 4.450
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.138, , 0.440, 1.263, 0.269, 0.156, , , , , 0.152, 0.122, 0.023, 18.091, 20.654
0.218, , 0.477, 0.622, 0.323, 0.175, , , , , 0.180, 0.134, 0.021, 21.242, 23.392
0.152, , 0.490, 0.705, 0.346, 0.179, , , , , 0.200, 0.149, 0.021, 115.577, 117.819
0.143, , 1.216, 0.597, 0.315, 0.169, , , , , 0.167, 0.134, 0.021, 0.603, 3.365
0.105, , 0.509, 0.553, 0.287, 0.166, , , , , 0.179, 0.130, 0.017, 0.632, 2.578
