Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.309, 0.858, 0.169, 1.011, 0.688, 0.167, 2.104, 0.532, 1.261, 9.970, , , , 1.283, 18.352
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.126, , 0.371, 0.709, 0.296, 0.162, 2.039, 0.490, 1.055, 7.316, , , , 18.430, 30.994
0.166, , 0.466, 0.949, 0.340, 0.182, 2.148, 0.494, 1.219, 8.164, , , , 21.242, 35.370
0.171, , 0.273, 0.961, 0.542, 0.297, 2.332, 0.521, 1.243, 8.506, , , , 88.618, 103.464
0.781, , 0.159, 0.671, 0.377, 0.169, 2.089, 0.489, 1.209, 8.100, , , , 1.262, 15.306
0.130, , 0.142, 0.659, 0.332, 0.179, 2.169, 0.491, 1.286, 7.604, , , , 1.110, 14.102
0.257, 1.148, 0.144, 0.732, 0.439, 0.162, 2.186, 0.530, 1.258, 9.829, , , , 1.342, 18.027
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.180, , 0.164, 0.650, 0.281, 0.154, 1.862, 0.484, 0.988, 6.991, , , , 17.753, 29.507
0.189, , 0.233, 1.530, 0.554, 0.301, 2.106, 0.495, 1.236, 7.972, , , , 18.167, 32.783
0.230, , 0.195, 0.740, 0.379, 0.193, 2.381, 0.545, 1.302, 8.746, , , , 88.843, 103.554
0.931, , 0.154, 1.010, 0.329, 0.179, 2.057, 0.477, 1.140, 8.245, , , , 0.790, 15.312
0.174, , 0.173, 1.122, 0.482, 0.279, 2.574, 0.478, 1.264, 7.566, , , , 1.420, 15.532
0.265, 0.681, 0.133, 0.696, 0.463, 0.165, 2.134, 0.528, 1.227, 9.740, , , , 1.438, 17.470
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
1.010, , 0.272, 1.036, 0.453, 0.281, 2.163, 0.496, 1.088, 7.467, , , , 17.791, 32.057
0.151, , 0.178, 0.944, 0.344, 0.182, 2.184, 0.503, 1.223, 8.085, , , , 21.200, 34.994
0.171, , 0.239, 0.985, 0.552, 0.306, 2.425, 0.527, 1.241, 8.449, , , , 90.196, 105.091
0.154, , 0.276, 0.677, 0.341, 0.171, 2.039, 0.472, 1.126, 7.732, , , , 0.851, 13.839
0.158, , 0.144, 1.064, 0.333, 0.227, 2.131, 0.486, 1.347, 7.583, , , , 2.195, 15.668
0.240, 0.717, 0.135, 0.699, 0.439, 0.170, 2.195, 0.531, 1.194, 9.965, , , , 2.782, 19.067
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.179, , 0.177, 0.848, 0.328, 0.160, 1.855, 0.453, 1.037, 6.887, , , , 18.223, 30.147
