Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
0.000, 0.017, 2.698, 71.230, 0.011
0.046, 0.018, 1.393, 44.381, 0.027
0.057, 0.027, 1.468, 45.155, 0.026
0.052, 0.015, 1.444, 44.774, 0.026
0.046, 0.011, 1.399, 45.312, 0.012
0.048, 0.011, 1.387, 45.914, 0.012
0.046, 0.011, 1.377, 44.728, 0.012
0.045, 0.011, 1.378, 46.012, 0.012
0.060, 0.011, 1.489, 45.889, 0.026
0.061, 0.012, 1.457, 45.159, 0.012
0.057, 0.026, 1.423, 45.533, 0.012
0.058, 0.011, 1.461, 45.477, 0.027
0.058, 0.012, 1.411, 45.698, 0.027
0.046, 0.011, 1.404, 44.484, 0.011
0.045, 0.011, 1.437, 45.767, 0.027
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10b.sql...
0.055, 0.011, 1.332, 41.255, 0.011
0.034, 0.012, 1.395, 40.946, 0.011
0.037, 0.024, 1.383, 40.976, 0.011
0.037, 0.012, 1.392, 40.709, 0.012
0.034, 0.011, 1.425, 41.242, 0.011
0.033, 0.011, 1.353, 40.097, 0.012
0.035, 0.011, 1.405, 40.280, 0.011
0.033, 0.012, 1.334, 39.767, 0.011
0.035, 0.012, 1.482, 39.994, 0.027
0.097, 0.012, 1.404, 39.954, 0.012
0.034, 0.012, 1.428, 40.870, 0.012
0.035, 0.011, 1.482, 40.315, 0.012
0.034, 0.011, 1.391, 39.851, 0.011
0.037, 0.012, 1.356, 40.032, 0.011
0.035, 0.011, 1.454, 40.628, 0.011
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10c.sql...
0.057, 0.011, 1.160, 172.013, 0.027
0.032, 0.011, 1.125, 163.507, 0.012
0.034, 0.011, 1.121, 162.038, 0.011
0.035, 0.011, 1.148, 158.947, 0.012
0.033, 0.011, 1.137, 159.357, 0.012
0.032, 0.011, 1.191, 160.410, 0.012
0.034, 0.012, 1.147, 162.807, 0.012
0.032, 0.011, 1.129, 159.822, 0.012
0.033, 0.011, 1.186, 160.534, 0.012
0.043, 0.011, 1.139, 160.002, 0.012
0.032, 0.011, 1.176, 160.011, 0.012
0.032, 0.012, 1.133, 161.836, 0.011
0.033, 0.012, 1.126, 158.697, 0.011
