Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
0.000, 0.009, 0.303, 0.103, 0.345, 2.420, 0.034, 0.025, 0.009, 0.042
0.000, 0.014, 0.297, 0.143, 0.339, 2.270, 0.027, 0.028, 0.011, 0.011
0.000, 0.015, 0.138, 0.098, 0.346, 2.387, 0.029, 0.024, 0.009, 0.011
0.000, 0.015, 0.252, 0.114, 0.345, 2.330, 0.029, 0.024, 0.009, 0.011
0.000, 0.016, 0.231, 0.188, 1.178, 2.591, 0.029, 0.025, 0.009, 0.011
0.000, 0.011, 0.143, 0.107, 0.345, 2.291, 0.029, 0.025, 0.009, 0.010
0.000, 0.015, 0.267, 0.186, 1.102, 2.317, 0.029, 0.025, 0.009, 0.014
0.000, 0.016, 0.148, 0.106, 0.345, 2.241, 0.029, 0.026, 0.009, 0.011
0.000, 0.015, 0.265, 0.103, 0.345, 2.235, 0.029, 0.024, 0.009, 0.011
0.000, 0.015, 0.273, 0.107, 0.342, 2.313, 0.029, 0.024, 0.010, 0.011
0.000, 0.015, 0.259, 0.106, 0.343, 2.319, 0.029, 0.029, 0.011, 0.011
0.000, 0.015, 0.153, 0.106, 0.344, 2.402, 0.029, 0.029, 0.011, 0.012
0.000, 0.016, 0.233, 0.194, 1.181, 2.376, 0.029, 0.025, 0.009, 0.026
0.000, 0.014, 0.248, 0.189, 0.801, 2.224, 0.029, 0.025, 0.009, 0.024
0.000, 0.012, 0.192, 0.109, 0.343, 2.215, 0.029, 0.025, 0.009, 0.039
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10b.sql...
0.000, 0.014, 0.186, 0.101, 0.345, 2.271, 0.029, 0.029, 0.010, 0.012
0.000, 0.015, 0.153, 0.104, 0.353, 2.251, 0.029, 0.043, 0.009, 0.014
0.000, 0.016, 0.163, 0.105, 0.343, 2.211, 0.029, 0.030, 0.010, 0.011
0.000, 0.015, 0.152, 0.101, 0.344, 2.205, 0.028, 0.030, 0.009, 0.011
0.000, 0.016, 0.288, 0.105, 0.347, 2.211, 0.028, 0.030, 0.010, 0.011
0.000, 0.015, 0.152, 0.107, 0.351, 2.290, 0.029, 0.029, 0.010, 0.012
0.000, 0.014, 0.152, 0.103, 0.345, 2.197, 0.029, 0.030, 0.010, 0.026
0.000, 0.013, 0.255, 0.104, 0.346, 2.217, 0.029, 0.029, 0.010, 0.011
0.000, 0.016, 0.150, 0.102, 0.348, 2.257, 0.029, 0.031, 0.010, 0.011
0.000, 0.015, 0.154, 0.105, 0.353, 2.272, 0.029, 0.030, 0.010, 0.011
0.000, 0.015, 0.149, 0.134, 0.348, 2.316, 0.028, 0.032, 0.011, 0.012
0.000, 0.028, 0.180, 0.142, 0.346, 2.345, 0.029, 0.029, 0.010, 0.011
0.000, 0.019, 0.151, 0.147, 0.344, 2.303, 0.028, 0.030, 0.009, 0.011
0.000, 0.016, 0.154, 0.134, 0.344, 2.355, 0.029, 0.030, 0.010, 0.026
0.000, 0.013, 0.185, 0.150, 0.345, 2.295, 0.028, 0.030, 0.010, 0.011
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10c.sql...
0.000, 0.013, 0.151, 0.131, 0.352, 2.366, 0.029, 0.028, 0.010, 0.027
0.000, 0.013, 0.145, 0.131, 0.347, 2.324, 0.028, 0.028, 0.010, 0.024
0.000, 0.027, 0.188, 0.133, 0.365, 2.325, 0.028, 0.027, 0.009, 0.011
0.000, 0.016, 0.149, 0.101, 0.387, 2.243, 0.028, 0.028, 0.010, 0.026
0.000, 0.014, 0.161, 0.100, 0.365, 2.266, 0.028, 0.028, 0.010, 0.011
0.000, 0.012, 0.150, 0.100, 0.345, 2.235, 0.028, 0.026, 0.009, 0.026
0.000, 0.013, 0.162, 0.100, 0.368, 2.261, 0.027, 0.028, 0.010, 0.027
0.000, 0.015, 0.231, 0.195, 0.510, 2.199, 0.027, 0.028, 0.010, 0.012
0.000, 0.016, 0.222, 0.202, 0.358, 2.234, 0.028, 0.028, 0.010, 0.026
0.000, 0.014, 0.162, 0.126, 0.367, 2.352, 0.028, 0.027, 0.009, 0.011
0.000, 0.015, 0.148, 0.136, 0.349, 2.368, 0.028, 0.027, 0.009, 0.011
0.000, 0.016, 0.144, 0.101, 0.345, 2.270, 0.028, 0.027, 0.009, 0.011
0.000, 0.015, 0.145, 0.099, 0.355, 2.247, 0.027, 0.026, 0.009, 0.012
0.000, 0.016, 0.149, 0.105, 0.359, 2.441, 0.029, 0.032, 0.011, 0.012
0.000, 0.015, 0.150, 0.103, 0.346, 2.282, 0.028, 0.027, 0.009, 0.011
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/11a.sql...
0.000, 0.014, 0.191, 0.189, 0.345, 2.900, 0.031, 0.030, 2.004, 0.026, 0.023, 0.009, 0.013
0.000, 0.015, 0.247, 0.174, 0.347, 2.886, 0.030, 0.030, 2.051, 0.027, 0.022, 0.009, 0.011
0.000, 0.014, 0.193, 0.171, 0.348, 2.832, 0.031, 0.032, 2.000, 0.026, 0.023, 0.009, 0.011
0.000, 0.016, 0.205, 0.153, 0.348, 2.850, 0.031, 0.032, 2.002, 0.026, 0.022, 0.008, 0.012
0.000, 0.016, 0.202, 0.158, 0.347, 2.853, 0.030, 0.031, 2.002, 0.027, 0.022, 0.009, 0.014
0.000, 0.015, 0.204, 0.157, 0.348, 2.813, 0.031, 0.032, 2.013, 0.027, 0.023, 0.008, 0.012
0.000, 0.016, 0.321, 0.274, 0.688, 2.905, 0.031, 0.031, 2.005, 0.027, 0.022, 0.009, 0.011
0.000, 0.016, 0.204, 0.161, 0.348, 2.853, 0.032, 0.033, 2.013, 0.027, 0.024, 0.009, 0.011
0.000, 0.016, 0.199, 0.160, 0.349, 2.852, 0.031, 0.031, 2.002, 0.027, 0.024, 0.009, 0.011
0.000, 0.015, 0.199, 0.165, 0.345, 2.830, 0.030, 0.033, 2.053, 0.027, 0.023, 0.009, 0.011
0.000, 0.015, 0.327, 0.279, 0.760, 2.803, 0.030, 0.031, 2.058, 0.027, 0.023, 0.009, 0.012
0.000, 0.015, 0.204, 0.166, 0.347, 2.835, 0.031, 0.032, 2.009, 0.026, 0.024, 0.009, 0.011
0.000, 0.015, 0.200, 0.168, 0.347, 2.848, 0.030, 0.033, 2.002, 0.026, 0.022, 0.008, 0.012
0.000, 0.015, 0.205, 0.165, 0.348, 2.889, 0.031, 0.033, 2.063, 0.027, 0.023, 0.009, 0.011
0.000, 0.014, 0.258, 0.172, 0.346, 2.825, 0.030, 0.033, 2.049, 0.027, 0.025, 0.009, 0.012
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/11b.sql...
0.000, 0.014, 0.203, 0.166, 0.347, 2.851, 0.031, 0.035, 2.016, 0.027, 0.027, 0.010, 0.011
0.000, 0.015, 0.201, 0.174, 0.346, 2.822, 0.031, 0.087, 2.069, 0.026, 0.025, 0.009, 0.012
0.000, 0.016, 0.200, 0.168, 0.347, 2.817, 0.032, 0.058, 2.058, 0.026, 0.025, 0.009, 0.011
0.000, 0.016, 0.206, 0.170, 0.345, 2.838, 0.031, 0.058, 2.266, 0.029, 0.028, 0.011, 0.012
0.000, 0.015, 0.340, 0.346, 0.741, 2.986, 0.032, 0.059, 2.230, 0.031, 0.025, 0.009, 0.011
0.000, 0.016, 0.213, 0.204, 0.353, 2.943, 0.031, 0.065, 2.153, 0.027, 0.033, 0.010, 0.011
0.000, 0.015, 0.209, 0.200, 0.347, 2.891, 0.030, 0.055, 2.064, 0.027, 0.025, 0.009, 0.011
0.000, 0.012, 0.212, 0.169, 0.346, 2.841, 0.030, 0.064, 2.263, 0.027, 0.029, 0.011, 0.011
0.000, 0.015, 0.209, 0.202, 0.345, 2.900, 0.030, 0.055, 2.167, 0.027, 0.028, 0.010, 0.014
0.000, 0.037, 0.209, 0.210, 0.349, 2.857, 0.030, 0.052, 2.086, 0.027, 0.025, 0.009, 0.011
0.000, 0.012, 0.213, 0.206, 0.347, 2.843, 0.031, 0.066, 2.084, 0.026, 0.025, 0.009, 0.011
0.000, 0.015, 0.205, 0.184, 0.347, 2.956, 0.030, 0.034, 2.094, 0.027, 0.025, 0.009, 0.011
0.000, 0.015, 0.205, 0.173, 0.347, 2.876, 0.030, 0.068, 2.113, 0.027, 0.023, 0.010, 0.011
0.000, 0.014, 0.204, 0.188, 0.347, 2.927, 0.031, 0.036, 2.106, 0.026, 0.027, 0.009, 0.011
0.000, 0.016, 0.203, 0.178, 0.391, 2.887, 0.030, 0.033, 2.108, 0.027, 0.026, 0.009, 0.012
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/11c.sql...
0.000, 0.015, 0.202, 0.177, 0.347, 2.904, 0.031, 0.034, 2.092, 0.028, 0.023, 0.007, 0.012
0.000, 0.016, 0.205, 0.178, 0.350, 2.954, 0.031, 0.038, 2.120, 0.028, 0.022, 0.007, 0.011
0.000, 0.019, 0.200, 0.186, 0.347, 2.951, 0.031, 0.034, 2.200, 0.028, 0.024, 0.007, 0.011
0.000, 0.016, 0.202, 0.208, 0.353, 3.053, 0.034, 0.033, 2.049, 0.028, 0.023, 0.007, 0.012
0.000, 0.024, 0.326, 0.320, 1.207, 3.625, 0.034, 0.031, 2.256, 0.030, 0.023, 0.007, 0.012
0.000, 0.013, 0.323, 0.263, 0.347, 3.018, 0.035, 0.032, 2.247, 0.031, 0.023, 0.008, 0.011
0.000, 0.017, 0.205, 0.159, 0.348, 3.054, 0.035, 0.031, 2.216, 0.030, 0.022, 0.007, 0.012
0.000, 0.016, 0.201, 0.169, 0.363, 3.062, 0.033, 0.032, 2.269, 0.032, 0.023, 0.008, 0.012
0.000, 0.018, 0.202, 0.168, 0.347, 3.079, 0.033, 0.032, 2.021, 0.028, 0.024, 0.007, 0.011
0.000, 0.015, 0.201, 0.172, 0.390, 3.039, 0.034, 0.033, 2.284, 0.030, 0.023, 0.007, 0.011
0.000, 0.019, 0.206, 0.165, 0.347, 2.962, 0.032, 0.031, 2.042, 0.028, 0.024, 0.007, 0.011
0.000, 0.016, 0.205, 0.170, 0.356, 2.825, 0.031, 0.031, 2.014, 0.028, 0.022, 0.007, 0.011
0.000, 0.017, 0.205, 0.171, 0.348, 2.786, 0.039, 0.032, 2.105, 0.029, 0.023, 0.008, 0.011
0.000, 0.015, 0.202, 0.176, 0.353, 2.846, 0.032, 0.030, 2.136, 0.027, 0.025, 0.009, 0.011
0.000, 0.019, 0.206, 0.173, 0.354, 2.967, 0.032, 0.032, 2.148, 0.028, 0.023, 0.007, 0.012
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/11d.sql...
0.000, 0.014, 0.195, 0.155, 0.348, 2.948, 0.030, 0.029, 2.020, 0.027, 0.025, 0.007, 0.011
0.000, 0.015, 0.188, 0.159, 0.347, 2.839, 0.031, 0.031, 1.960, 0.028, 0.024, 0.007, 0.011
0.000, 0.019, 0.193, 0.154, 0.376, 2.903, 0.030, 0.031, 2.042, 0.028, 0.025, 0.007, 0.011
0.000, 0.013, 0.234, 0.169, 0.353, 2.856, 0.031, 0.030, 1.990, 0.027, 0.024, 0.007, 0.039
0.000, 0.014, 0.205, 0.201, 0.351, 2.878, 0.030, 0.031, 2.047, 0.038, 0.025, 0.007, 0.039
0.000, 0.014, 0.209, 0.178, 0.340, 2.935, 0.030, 0.031, 2.030, 0.028, 0.025, 0.008, 0.011
0.000, 0.031, 0.226, 0.208, 0.339, 2.921, 0.030, 0.031, 2.028, 0.029, 0.025, 0.008, 0.039
0.000, 0.014, 0.207, 0.194, 0.339, 2.958, 0.030, 0.030, 2.008, 0.029, 0.023, 0.007, 0.039
0.000, 0.014, 0.203, 0.200, 0.341, 2.930, 0.030, 0.030, 2.043, 0.028, 0.024, 0.007, 0.023
0.000, 0.014, 0.230, 0.211, 0.340, 2.839, 0.030, 0.029, 2.040, 0.029, 0.025, 0.008, 0.026
0.000, 0.017, 0.241, 0.177, 0.379, 2.812, 0.030, 0.031, 2.030, 0.029, 0.024, 0.007, 0.039
0.000, 0.014, 0.211, 0.208, 0.341, 2.922, 0.030, 0.030, 2.017, 0.028, 0.025, 0.008, 0.039
0.000, 0.014, 0.210, 0.194, 0.341, 2.927, 0.031, 0.031, 2.080, 0.029, 0.024, 0.007, 0.039
0.000, 0.015, 0.211, 0.203, 0.339, 2.821, 0.030, 0.029, 1.986, 0.027, 0.023, 0.008, 0.012
0.000, 0.027, 0.253, 0.193, 0.341, 2.800, 0.030, 0.030, 2.030, 0.028, 0.025, 0.007, 0.038
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/12a.sql...
0.000, 0.016, 0.259, 0.201, 0.407, 2.801, 0.029, 0.030, 2.049, 0.027, 0.024, 0.010, 0.011
0.000, 0.063, 0.205, 0.194, 0.346, 2.913, 0.029, 0.031, 2.056, 0.027, 0.023, 0.010, 0.011
0.000, 0.015, 0.199, 0.207, 0.346, 2.945, 0.029, 0.030, 2.067, 0.027, 0.023, 0.010, 0.011
0.000, 0.013, 0.285, 0.229, 0.346, 2.904, 0.029, 0.031, 2.086, 0.027, 0.023, 0.010, 0.023
0.000, 0.013, 0.195, 0.238, 0.346, 2.901, 0.029, 0.030, 2.016, 0.027, 0.023, 0.010, 0.011
0.000, 0.012, 0.305, 0.174, 0.347, 2.898, 0.030, 0.032, 2.010, 0.027, 0.022, 0.010, 0.011
0.000, 0.010, 0.201, 0.182, 0.345, 2.982, 0.029, 0.032, 2.028, 0.027, 0.022, 0.010, 0.027
0.000, 0.015, 0.221, 0.177, 0.347, 2.937, 0.029, 0.032, 2.061, 0.028, 0.024, 0.010, 0.012
0.000, 0.015, 0.192, 0.176, 0.349, 2.836, 0.029, 0.031, 2.053, 0.027, 0.024, 0.010, 0.011
0.000, 0.014, 0.193, 0.191, 0.349, 2.975, 0.030, 0.031, 2.033, 0.027, 0.023, 0.010, 0.011
0.000, 0.014, 0.197, 0.191, 0.346, 2.870, 0.029, 0.031, 2.044, 0.028, 0.023, 0.010, 0.011
0.000, 0.015, 0.196, 0.168, 0.349, 2.875, 0.029, 0.031, 2.024, 0.028, 0.023, 0.010, 0.011
0.000, 0.014, 0.204, 0.189, 0.350, 2.847, 0.029, 0.032, 2.020, 0.027, 0.024, 0.010, 0.011
0.000, 0.016, 0.203, 0.181, 0.352, 2.875, 0.029, 0.032, 2.018, 0.028, 0.024, 0.010, 0.011
0.000, 0.016, 0.194, 0.187, 0.390, 2.823, 0.029, 0.032, 2.015, 0.027, 0.024, 0.010, 0.011
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/12b.sql...
0.000, 0.015, 0.197, 0.189, 0.347, 2.871, 0.030, 0.030, 2.026, 0.027, 0.024, 0.009, 0.011
0.000, 0.014, 0.325, 0.199, 0.346, 2.797, 0.030, 0.030, 2.026, 0.026, 0.024, 0.009, 0.011
0.000, 0.017, 0.205, 0.203, 0.354, 2.903, 0.031, 0.029, 2.076, 0.027, 0.024, 0.009, 0.011
0.000, 0.015, 0.206, 0.193, 0.357, 2.881, 0.030, 0.031, 2.046, 0.027, 0.023, 0.009, 0.011
0.000, 0.015, 0.292, 0.198, 0.348, 2.841, 0.030, 0.030, 2.084, 0.027, 0.025, 0.010, 0.011
0.000, 0.015, 0.209, 0.196, 0.346, 3.066, 0.031, 0.030, 2.125, 0.027, 0.023, 0.009, 0.011
0.000, 0.015, 0.217, 0.187, 0.349, 2.842, 0.030, 0.030, 2.035, 0.027, 0.025, 0.009, 0.011
0.000, 0.015, 0.211, 0.189, 0.350, 2.897, 0.030, 0.030, 2.119, 0.028, 0.025, 0.009, 0.011
0.000, 0.015, 0.202, 0.192, 0.347, 2.878, 0.030, 0.030, 2.058, 0.026, 0.026, 0.010, 0.011
0.000, 0.015, 0.219, 0.191, 0.348, 2.899, 0.030, 0.057, 2.121, 0.027, 0.025, 0.010, 0.011
0.000, 0.015, 0.247, 0.190, 0.347, 2.892, 0.030, 0.029, 2.085, 0.026, 0.023, 0.009, 0.011
0.000, 0.015, 0.197, 0.183, 0.346, 2.895, 0.031, 0.031, 2.020, 0.027, 0.026, 0.010, 0.011
0.000, 0.016, 0.201, 0.198, 0.347, 2.864, 0.030, 0.031, 2.111, 0.027, 0.026, 0.009, 0.011
0.000, 0.016, 0.205, 0.184, 0.354, 2.934, 0.032, 0.031, 2.075, 0.027, 0.026, 0.009, 0.012
0.000, 0.016, 0.235, 0.201, 0.347, 2.913, 0.030, 0.030, 2.071, 0.027, 0.026, 0.010, 0.011
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/12c.sql...
0.000, 0.014, 0.203, 0.196, 0.354, 2.964, 0.030, 0.033, 2.050, 0.028, 0.024, 0.011, 0.011
0.000, 0.015, 0.200, 0.213, 0.347, 2.973, 0.030, 0.032, 2.067, 0.028, 0.026, 0.010, 0.011
0.000, 0.016, 0.205, 0.195, 0.346, 2.914, 0.030, 0.033, 2.051, 0.027, 0.025, 0.010, 0.011
0.000, 0.015, 0.204, 0.192, 0.347, 2.989, 0.030, 0.033, 2.100, 0.028, 0.025, 0.010, 0.011
0.000, 0.015, 0.202, 0.188, 0.348, 2.925, 0.029, 0.034, 2.082, 0.028, 0.024, 0.010, 0.011
0.000, 0.015, 0.203, 0.199, 0.345, 2.884, 0.036, 0.033, 2.048, 0.027, 0.025, 0.010, 0.011
0.000, 0.015, 0.203, 0.196, 0.346, 2.869, 0.029, 0.033, 2.040, 0.029, 0.025, 0.017, 0.011
0.000, 0.016, 0.203, 0.204, 0.348, 2.889, 0.029, 0.034, 2.017, 0.027, 0.024, 0.009, 0.011
0.000, 0.015, 0.342, 0.175, 0.346, 2.825, 0.029, 0.034, 2.071, 0.028, 0.025, 0.010, 0.011
0.000, 0.014, 0.207, 0.180, 0.392, 2.857, 0.029, 0.033, 2.027, 0.028, 0.024, 0.010, 0.011
0.000, 0.015, 0.202, 0.179, 0.348, 2.888, 0.029, 0.033, 2.081, 0.029, 0.025, 0.010, 0.012
0.000, 0.016, 0.219, 0.185, 0.346, 2.874, 0.029, 0.032, 2.014, 0.028, 0.024, 0.010, 0.011
0.000, 0.016, 0.219, 0.180, 0.347, 2.832, 0.029, 0.031, 2.046, 0.028, 0.024, 0.010, 0.011
0.000, 0.012, 0.212, 0.190, 0.393, 2.831, 0.029, 0.033, 2.014, 0.027, 0.024, 0.009, 0.011
0.000, 0.016, 0.208, 0.185, 0.346, 2.882, 0.029, 0.038, 2.042, 0.027, 0.022, 0.010, 0.011
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/13a.sql...
0.000, 0.014, 0.198, 0.177, 0.348, 3.591, 0.028, 0.032, 2.811, 0.026, 0.026, 1.926, 0.028, 0.021, 0.009, 0.024
0.000, 0.014, 0.238, 0.188, 0.340, 3.546, 0.028, 0.033, 2.829, 0.028, 0.028, 1.956, 0.028, 0.021, 0.008, 0.026
0.000, 0.014, 0.208, 0.173, 0.371, 3.512, 0.027, 0.034, 2.809, 0.026, 0.027, 1.943, 0.029, 0.022, 0.008, 0.039
0.000, 0.013, 0.208, 0.172, 0.367, 3.533, 0.028, 0.033, 2.769, 0.027, 0.026, 1.975, 0.029, 0.022, 0.008, 0.011
0.000, 0.016, 0.200, 0.177, 0.362, 3.700, 0.029, 0.035, 2.898, 0.027, 0.028, 2.002, 0.029, 0.021, 0.008, 0.011
0.000, 0.016, 0.269, 0.174, 0.350, 3.638, 0.029, 0.032, 2.919, 0.028, 0.027, 2.006, 0.028, 0.023, 0.008, 0.011
0.000, 0.015, 0.194, 0.174, 0.348, 3.617, 0.028, 0.032, 2.912, 0.027, 0.027, 1.978, 0.029, 0.022, 0.009, 0.011
0.000, 0.015, 0.233, 0.197, 0.347, 3.606, 0.028, 0.035, 2.850, 0.027, 0.027, 1.980, 0.029, 0.022, 0.008, 0.011
0.000, 0.016, 0.196, 0.180, 0.349, 3.586, 0.028, 0.033, 2.887, 0.028, 0.027, 2.053, 0.028, 0.022, 0.009, 0.011
0.000, 0.015, 0.336, 0.232, 0.347, 3.622, 0.029, 0.034, 2.854, 0.027, 0.027, 1.984, 0.028, 0.021, 0.008, 0.011
0.000, 0.015, 0.198, 0.185, 0.348, 3.601, 0.028, 0.032, 2.839, 0.027, 0.028, 1.978, 0.027, 0.022, 0.009, 0.038
0.000, 0.016, 0.195, 0.177, 0.348, 3.607, 0.029, 0.036, 2.845, 0.027, 0.028, 1.984, 0.028, 0.022, 0.008, 0.038
0.000, 0.015, 0.210, 0.181, 0.367, 3.534, 0.028, 0.047, 2.803, 0.027, 0.027, 1.964, 0.027, 0.022, 0.008, 0.024
0.000, 0.011, 0.278, 0.175, 0.399, 3.497, 0.028, 0.032, 2.825, 0.027, 0.025, 1.984, 0.029, 0.022, 0.009, 0.039
0.000, 0.011, 0.278, 0.176, 0.354, 3.562, 0.028, 0.034, 2.874, 0.027, 0.027, 2.004, 0.028, 0.022, 0.009, 0.011
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/13b.sql...
0.000, 0.011, 0.251, 0.280, 0.346, 3.574, 0.069, 0.033, 2.812, 0.027, 0.025, 1.973, 0.029, 0.022, 0.008, 0.012
0.000, 0.011, 0.265, 0.189, 0.347, 3.624, 0.031, 0.034, 2.863, 0.027, 0.026, 1.949, 0.029, 0.022, 0.009, 0.012
0.000, 0.011, 0.253, 0.198, 0.363, 3.640, 0.030, 0.032, 2.817, 0.027, 0.027, 1.951, 0.030, 0.021, 0.009, 0.011
0.000, 0.011, 0.259, 0.192, 0.363, 3.642, 0.031, 0.035, 2.838, 0.027, 0.028, 1.985, 0.029, 0.022, 0.010, 0.011
0.000, 0.011, 0.261, 0.191, 0.363, 3.613, 0.031, 0.033, 2.830, 0.027, 0.026, 1.954, 0.029, 0.022, 0.008, 0.011
0.000, 0.010, 0.261, 0.253, 0.349, 3.608, 0.030, 0.033, 2.842, 0.027, 0.026, 1.944, 0.028, 0.022, 0.008, 0.011
