Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
0.000, 0.014, 0.181, 0.229, 2.053, 0.006, 0.033, 0.955, 0.007, 0.031, 0.828, 0.008, 0.033, 0.688, 0.007, 0.031, 3.458, 0.027, 0.146, 2.983, 0.061, 238.665, 0.062
0.656, 0.012, 0.112, 0.225, 2.457, 0.006, 0.024, 1.034, 0.019, 0.030, 1.087, 0.006, 0.028, 0.787, 0.007, 0.030, 0.749, 0.005, 0.032, 0.674, 0.016, 0.652, 0.011
0.608, 0.012, 0.112, 0.228, 2.251, 0.006, 0.024, 0.915, 0.007, 0.031, 0.944, 0.007, 0.031, 0.776, 0.007, 0.056, 0.908, 0.004, 0.024, 0.839, 0.013, 0.654, 0.028
0.726, 0.041, 0.110, 0.223, 2.540, 0.007, 0.029, 1.037, 0.020, 0.031, 1.120, 0.009, 0.034, 0.746, 0.018, 0.027, 0.769, 0.006, 0.031, 0.672, 0.016, 0.604, 0.023
0.727, 0.012, 0.117, 0.226, 2.353, 0.006, 0.025, 1.172, 0.007, 0.030, 0.930, 0.023, 0.031, 0.683, 0.019, 0.030, 0.677, 0.030, 0.032, 0.662, 0.041, 0.633, 0.011
0.748, 0.030, 0.111, 0.221, 2.597, 0.006, 0.024, 0.995, 0.007, 0.031, 1.049, 0.007, 0.030, 1.264, 0.006, 0.043, 0.969, 0.004, 0.029, 0.710, 0.016, 0.651, 0.011
0.717, 0.012, 0.111, 0.225, 2.550, 0.006, 0.025, 1.176, 0.007, 0.032, 1.195, 0.008, 0.033, 0.807, 0.005, 0.028, 0.765, 0.007, 0.029, 0.763, 0.013, 0.607, 0.011
0.657, 0.030, 0.110, 0.221, 2.557, 0.007, 0.030, 1.086, 0.007, 0.032, 1.049, 0.007, 0.030, 0.664, 0.006, 0.028, 0.698, 0.005, 0.030, 0.612, 0.016, 0.686, 0.011
0.629, 0.022, 0.119, 0.232, 2.216, 0.006, 0.026, 0.787, 0.007, 0.033, 1.042, 0.006, 0.043, 0.874, 0.020, 0.043, 0.744, 0.005, 0.032, 0.704, 0.013, 0.636, 0.011
0.827, 0.012, 0.120, 0.223, 2.342, 0.006, 0.038, 0.953, 0.007, 0.030, 1.075, 0.007, 0.043, 0.719, 0.007, 0.030, 0.780, 0.005, 0.031, 0.920, 0.013, 0.632, 0.010
0.820, 0.025, 0.114, 0.223, 2.502, 0.006, 0.025, 1.282, 0.007, 0.032, 1.007, 0.007, 0.031, 0.666, 0.006, 0.030, 0.944, 0.005, 0.028, 0.854, 0.012, 0.697, 0.031
0.746, 0.013, 0.177, 0.371, 2.685, 0.007, 0.025, 1.068, 0.007, 0.030, 1.203, 0.008, 0.036, 0.831, 0.007, 0.058, 0.776, 0.005, 0.032, 0.925, 0.016, 0.681, 0.011
0.653, 0.011, 0.115, 0.223, 2.519, 0.007, 0.028, 1.031, 0.008, 0.036, 1.239, 0.020, 0.031, 0.684, 0.009, 0.042, 0.958, 0.005, 0.043, 0.910, 0.026, 0.666, 0.026
0.730, 0.026, 0.114, 0.225, 2.406, 0.007, 0.030, 1.116, 0.008, 0.037, 1.243, 0.008, 0.031, 0.859, 0.021, 0.027, 0.853, 0.005, 0.029, 0.796, 0.013, 0.631, 0.013
0.835, 0.012, 0.113, 0.227, 2.356, 0.006, 0.025, 1.025, 0.008, 0.037, 1.092, 0.008, 0.036, 0.705, 0.007, 0.038, 0.728, 0.005, 0.031, 0.821, 0.016, 0.702, 0.011
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10b.sql...
2.029, 0.046, 0.441, 0.934, 8.905, 0.031, 0.124, 1.073, 0.007, 0.030, 0.862, 0.007, 0.033, 0.715, 0.024, 0.826, 0.015
0.492, 0.011, 0.108, 0.205, 2.143, 0.007, 0.028, 0.892, 0.007, 0.031, 0.834, 0.008, 0.034, 0.764, 0.025, 0.930, 0.013
0.574, 0.011, 0.122, 0.205, 1.750, 0.006, 0.024, 0.852, 0.007, 0.030, 0.884, 0.006, 0.031, 0.597, 0.018, 0.857, 0.011
0.515, 0.012, 0.105, 0.202, 2.281, 0.006, 0.027, 0.928, 0.008, 0.036, 0.932, 0.008, 0.033, 0.712, 0.026, 0.951, 0.013
0.564, 0.016, 0.109, 0.206, 2.051, 0.007, 0.028, 0.997, 0.007, 0.029, 0.929, 0.008, 0.047, 0.719, 0.033, 0.976, 0.011
0.484, 0.013, 0.105, 0.205, 2.014, 0.006, 0.027, 1.076, 0.008, 0.038, 0.931, 0.011, 0.033, 0.688, 0.019, 0.834, 0.011
0.577, 0.014, 0.107, 0.206, 2.230, 0.007, 0.028, 0.888, 0.007, 0.030, 0.929, 0.008, 0.035, 0.673, 0.020, 0.816, 0.012
0.533, 0.011, 0.183, 0.207, 2.482, 0.006, 0.023, 0.964, 0.007, 0.033, 0.899, 0.008, 0.032, 0.664, 0.026, 0.822, 0.011
0.495, 0.011, 0.110, 0.211, 1.804, 0.007, 0.028, 0.895, 0.007, 0.031, 1.055, 0.008, 0.033, 0.691, 0.019, 0.822, 0.011
0.694, 0.013, 0.169, 0.360, 2.439, 0.006, 0.024, 1.081, 0.007, 0.030, 0.924, 0.008, 0.034, 0.668, 0.020, 0.856, 0.011
0.579, 0.014, 0.168, 0.362, 2.544, 0.007, 0.028, 1.053, 0.007, 0.030, 1.015, 0.008, 0.031, 0.733, 0.019, 0.833, 0.011
0.620, 0.012, 0.112, 0.200, 2.237, 0.006, 0.024, 0.932, 0.008, 0.033, 0.959, 0.008, 0.050, 0.790, 0.025, 0.841, 0.011
0.723, 0.011, 0.108, 0.206, 2.402, 0.006, 0.024, 1.253, 0.010, 0.031, 0.978, 0.008, 0.033, 0.689, 0.026, 0.836, 0.015
0.719, 0.030, 0.108, 0.210, 2.323, 0.006, 0.037, 1.024, 0.007, 0.030, 0.946, 0.008, 0.037, 0.748, 0.020, 0.827, 0.014
0.564, 0.015, 0.152, 0.206, 1.826, 0.006, 0.029, 1.097, 0.007, 0.031, 0.934, 0.008, 0.033, 0.878, 0.039, 0.835, 0.011
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10c.sql...
0.528, 0.012, 0.101, 0.201, 2.104, 0.006, 0.024, 2.377, 0.009, 0.034, 269.986, 0.049
0.578, 0.013, 0.101, 0.201, 1.804, 0.007, 0.031, 1.966, 0.022, 0.033, 88.239, 0.026
0.569, 0.012, 0.106, 0.207, 1.587, 0.006, 0.024, 1.999, 0.009, 0.035, 78.450, 0.025
0.598, 0.011, 0.106, 0.204, 1.997, 0.007, 0.029, 2.073, 0.008, 0.033, 90.556, 0.027
0.464, 0.016, 0.103, 0.196, 2.121, 0.006, 0.024, 1.925, 0.008, 0.033, 83.430, 0.025
0.621, 0.014, 0.107, 0.205, 1.956, 0.007, 0.029, 2.029, 0.007, 0.030, 85.361, 0.021
0.624, 0.012, 0.108, 0.205, 2.222, 0.006, 0.025, 2.222, 0.009, 0.032, 96.016, 0.022
0.538, 0.011, 0.107, 0.205, 1.963, 0.006, 0.026, 2.192, 0.010, 0.042, 81.705, 0.039
0.611, 0.011, 0.107, 0.208, 2.043, 0.006, 0.025, 1.988, 0.024, 0.057, 81.755, 0.025
0.587, 0.011, 0.108, 0.207, 1.847, 0.006, 0.026, 2.122, 0.009, 0.035, 49.673, 0.023
0.633, 0.025, 0.104, 0.196, 2.210, 0.006, 0.036, 2.015, 0.025, 0.049, 75.055, 0.023
0.628, 0.011, 0.160, 0.337, 2.135, 0.006, 0.037, 2.025, 0.011, 0.037, 82.688, 0.025
0.708, 0.013, 0.107, 0.206, 2.208, 0.008, 0.030, 2.034, 0.023, 0.034, 77.941, 0.020
0.650, 0.011, 0.109, 0.205, 2.197, 0.006, 0.026, 2.033, 0.021, 0.048, 79.572, 0.025
0.595, 0.011, 0.102, 0.194, 2.459, 0.006, 0.024, 2.017, 0.009, 0.034, 91.667, 0.022
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/11a.sql...
