Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
0.000, 0.010, 0.175, 0.217, 8.059, 0.007, 0.034, 61.892, 0.030, 0.028, 0.010, 0.039, 776.619, 0.034, 0.025, 0.007, 0.031, 6.190, 0.016, 0.014, 0.007, 0.030, 163.408, 0.030, 0.022, 0.006, 0.030, 1.938, 0.016, 0.010, 0.013, 49.052, 0.012
730.700, 0.019, 0.184, 0.342, 7.558, 0.008, 0.031, 58.819, 0.033, 0.026, 0.008, 0.037, 818.099, 0.034, 0.026, 0.008, 0.035, 6.321, 0.016, 0.015, 0.007, 0.030, 166.612, 0.032, 0.023, 0.006, 0.030, 2.048, 0.017, 0.011, 0.014, 49.497, 0.013
546.110, 0.015, 0.131, 0.253, 7.035, 0.008, 0.029, 57.360, 0.032, 0.027, 0.008, 0.037, 808.628, 0.031, 0.026, 0.008, 0.035, 6.261, 0.016, 0.015, 0.007, 0.030, 165.447, 0.031, 0.022, 0.006, 0.031, 1.987, 0.013, 0.010, 0.013, 49.331, 0.011
112.466, 0.017, 0.152, 0.303, 7.194, 0.008, 0.032, 57.867, 0.037, 0.028, 0.008, 0.041, 809.012, 0.037, 0.025, 0.007, 0.037, 12.000, 0.020, 0.016, 0.007, 0.034, 165.442, 0.034, 0.022, 0.006, 0.032, 2.665, 0.019, 0.011, 0.014, 49.008, 0.012
34.570, 0.014, 0.117, 0.224, 7.100, 0.007, 0.026, 56.953, 0.033, 0.027, 0.009, 0.037, 805.319, 0.038, 0.026, 0.007, 0.037, 6.247, 0.018, 0.016, 0.007, 0.032, 168.433, 0.035, 0.023, 0.006, 0.031, 2.011, 0.018, 0.010, 0.014, 48.825, 0.014
2244.478, 0.020, 0.219, 0.459, 6.916, 0.008, 0.027, 57.052, 0.034, 0.051, 0.008, 0.036, 808.325, 0.037, 0.025, 0.007, 0.036, 6.213, 0.019, 0.015, 0.007, 0.032, 169.906, 0.033, 0.022, 0.006, 0.032, 2.005, 0.018, 0.010, 0.013, 49.335, 0.026
779.640, 0.020, 0.184, 0.370, 7.627, 0.025, 0.030, 57.170, 0.034, 0.027, 0.009, 0.036, 884.680, 0.032, 0.053, 0.007, 0.035, 6.143, 0.020, 0.019, 0.007, 0.031, 164.908, 0.032, 0.022, 0.006, 0.033, 2.026, 0.017, 0.011, 0.023, 49.143, 0.012
641.017, 0.017, 0.167, 0.333, 7.460, 0.009, 0.034, 57.994, 0.032, 0.029, 0.009, 0.045, 810.128, 0.046, 0.025, 0.008, 0.035, 6.305, 0.016, 0.016, 0.007, 0.031, 163.526, 0.031, 0.022, 0.018, 0.026, 2.010, 0.016, 0.010, 0.014, 49.230, 0.012
818.987, 0.015, 0.116, 0.216, 7.451, 0.011, 0.043, 58.081, 0.037, 0.027, 0.009, 0.038, 819.188, 0.038, 0.026, 0.007, 0.037, 6.465, 0.020, 0.017, 0.007, 0.051, 949.961, 0.034, 0.022, 0.006, 0.032, 258.085, 0.046, 0.019, 0.024, 53.385, 0.011
127.371, 0.026, 0.254, 0.533, 8.304, 0.013, 0.051, 60.727, 0.032, 0.028, 0.008, 0.054, 830.959, 0.044, 0.025, 0.006, 0.030, 6.304, 0.016, 0.015, 0.007, 0.030, 164.166, 0.031, 0.021, 0.005, 0.026, 2.017, 0.016, 0.010, 0.014, 49.266, 0.011
83.772, 0.027, 0.252, 0.513, 7.957, 0.011, 0.044, 70.846, 0.033, 0.027, 0.009, 0.057, 809.858, 0.037, 0.025, 0.007, 0.036, 6.326, 0.018, 0.015, 0.007, 0.031, 165.429, 0.033, 0.022, 0.005, 0.030, 1.957, 0.017, 0.010, 0.014, 48.907, 0.012
