Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
11.684, 0.013, 0.628, 0.075, 0.407, 1.468, 0.046, 0.556, 22.849, 0.103, 0.040, 0.015, 1.297, 57.851, 0.014
0.048, 0.009, 0.316, 0.043, 0.404, 1.246, 0.037, 0.492, 12.950, 0.070, 0.031, 0.011, 0.716, 41.207, 0.012
0.038, 0.010, 0.279, 0.044, 0.412, 1.210, 0.039, 0.502, 11.364, 0.078, 0.032, 0.011, 0.708, 41.152, 0.011
0.036, 0.009, 0.278, 0.043, 0.411, 1.217, 0.038, 0.491, 10.909, 0.074, 0.030, 0.010, 0.694, 40.999, 0.011
0.041, 0.009, 0.275, 0.042, 0.403, 1.189, 0.037, 0.491, 11.004, 0.076, 0.030, 0.010, 0.695, 40.965, 0.011
0.039, 0.009, 0.276, 0.043, 0.404, 1.192, 0.038, 0.491, 10.946, 0.077, 0.030, 0.011, 0.697, 41.169, 0.011
0.043, 0.008, 0.277, 0.043, 0.403, 1.187, 0.037, 0.489, 10.797, 0.075, 0.032, 0.010, 0.694, 41.210, 0.011
0.056, 0.009, 0.282, 0.043, 0.410, 1.204, 0.038, 0.488, 11.885, 0.075, 0.032, 0.010, 0.694, 41.934, 0.012
0.045, 0.009, 0.290, 0.045, 0.425, 1.252, 0.037, 0.490, 11.813, 0.075, 0.030, 0.010, 0.695, 41.622, 0.011
0.045, 0.009, 0.297, 0.044, 0.470, 1.224, 0.039, 0.498, 11.691, 0.090, 0.031, 0.011, 0.694, 42.034, 0.012
0.044, 0.009, 0.291, 0.045, 0.419, 1.215, 0.038, 0.490, 11.941, 0.074, 0.032, 0.011, 0.756, 41.923, 0.012
0.063, 0.010, 0.292, 0.045, 0.434, 1.235, 0.038, 0.489, 11.275, 0.076, 0.033, 0.011, 0.699, 42.160, 0.011
0.045, 0.010, 0.300, 0.045, 0.420, 1.246, 0.037, 0.491, 11.079, 0.077, 0.031, 0.010, 0.691, 42.029, 0.011
0.045, 0.009, 0.290, 0.046, 0.427, 1.237, 0.037, 0.534, 11.579, 0.075, 0.032, 0.011, 0.761, 42.310, 0.011
0.046, 0.009, 0.298, 0.045, 0.465, 1.226, 0.038, 0.498, 12.332, 0.075, 0.033, 0.010, 0.698, 41.958, 0.012
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10b.sql...
11.838, 0.014, 0.506, 0.076, 0.415, 1.609, 0.043, 0.562, 23.110, 0.084, 0.035, 0.011, 0.781, 46.486, 0.032
0.049, 0.011, 0.481, 0.069, 1.443, 1.656, 0.038, 0.506, 11.596, 0.057, 0.032, 0.010, 0.684, 33.958, 0.012
0.039, 0.009, 0.272, 0.042, 0.411, 1.251, 0.038, 0.508, 11.414, 0.065, 0.031, 0.011, 0.682, 33.819, 0.011
0.144, 0.009, 0.271, 0.042, 0.409, 1.221, 0.031, 0.557, 11.507, 0.065, 0.032, 0.010, 0.716, 34.073, 0.011
0.074, 0.009, 0.266, 0.042, 0.402, 1.251, 0.030, 0.497, 11.638, 0.065, 0.031, 0.011, 0.661, 33.958, 0.011
0.039, 0.009, 0.274, 0.043, 0.418, 1.213, 0.038, 0.495, 11.327, 0.064, 0.031, 0.011, 0.671, 34.261, 0.012
0.039, 0.009, 0.284, 0.044, 0.419, 1.291, 0.039, 0.504, 10.654, 0.064, 0.031, 0.011, 0.741, 34.615, 0.012
0.051, 0.012, 0.497, 0.043, 0.428, 1.233, 0.030, 0.497, 10.390, 0.078, 0.030, 0.010, 0.670, 34.577, 0.012
0.086, 0.009, 0.282, 0.042, 0.441, 1.245, 0.039, 0.515, 11.032, 0.064, 0.030, 0.010, 0.667, 34.556, 0.012
0.045, 0.009, 0.287, 0.042, 0.419, 1.292, 0.040, 0.510, 10.857, 0.064, 0.031, 0.010, 0.735, 34.731, 0.011
0.044, 0.010, 0.288, 0.044, 0.436, 1.248, 0.039, 0.515, 11.287, 0.064, 0.032, 0.010, 0.662, 34.186, 0.011
0.044, 0.009, 0.285, 0.043, 0.420, 1.248, 0.052, 0.495, 11.325, 0.062, 0.031, 0.011, 0.722, 34.508, 0.012
0.043, 0.009, 0.278, 0.057, 0.420, 1.294, 0.039, 0.515, 11.390, 0.063, 0.030, 0.010, 0.665, 34.448, 0.011
0.045, 0.009, 0.275, 0.044, 0.436, 1.245, 0.039, 0.518, 11.517, 0.076, 0.031, 0.010, 0.671, 34.389, 0.012
0.045, 0.009, 0.285, 0.045, 0.443, 1.259, 0.039, 0.508, 11.145, 0.063, 0.032, 0.010, 0.666, 34.586, 0.011
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10c.sql...
11.880, 0.014, 0.500, 0.078, 0.414, 1.481, 0.043, 0.573, 63.074, 2.625, 0.032, 0.010, 0.760, 161.264, 0.046
0.544, 0.008, 0.255, 0.039, 0.430, 1.161, 0.037, 0.482, 45.577, 2.502, 0.031, 0.010, 0.674, 135.144, 0.027
0.093, 0.024, 0.294, 0.039, 0.393, 1.225, 0.036, 0.480, 44.156, 2.436, 0.030, 0.010, 0.714, 140.869, 0.026
0.097, 0.009, 0.293, 0.038, 0.393, 1.161, 0.037, 0.556, 47.172, 2.492, 0.030, 0.010, 0.669, 134.493, 0.011
0.090, 0.009, 0.257, 0.039, 0.409, 1.158, 0.036, 0.548, 43.171, 2.465, 0.030, 0.010, 0.668, 126.861, 0.012
0.096, 0.009, 0.268, 0.040, 0.419, 1.252, 0.030, 0.502, 43.421, 2.410, 0.031, 0.009, 0.661, 126.094, 0.012
0.092, 0.011, 0.267, 0.042, 0.434, 1.270, 0.053, 0.513, 47.079, 2.475, 0.030, 0.010, 0.669, 125.800, 0.012
0.098, 0.009, 0.267, 0.041, 0.418, 1.232, 0.039, 0.499, 47.806, 2.496, 0.033, 0.010, 0.680, 133.419, 0.011
0.093, 0.009, 0.263, 0.041, 0.425, 3.288, 0.038, 0.482, 42.901, 2.468, 0.031, 0.010, 0.678, 135.267, 0.012
0.096, 0.009, 0.264, 0.041, 0.417, 1.214, 0.051, 0.482, 43.260, 2.414, 0.032, 0.010, 0.730, 135.112, 0.012
1.881, 0.009, 0.265, 0.041, 0.410, 1.214, 0.038, 0.506, 42.833, 2.483, 0.032, 0.009, 0.669, 130.424, 0.013
0.095, 0.009, 0.268, 0.042, 0.418, 1.244, 0.030, 0.510, 47.778, 2.512, 0.033, 0.010, 0.680, 131.828, 0.011
0.100, 0.009, 0.279, 0.042, 0.468, 1.210, 0.039, 0.491, 49.197, 2.480, 0.033, 0.009, 0.665, 127.235, 0.012
0.317, 0.009, 0.269, 0.042, 0.418, 1.246, 0.040, 0.511, 48.064, 2.457, 0.032, 0.010, 0.715, 126.868, 0.011
0.100, 0.009, 0.261, 0.042, 0.418, 1.248, 0.031, 0.513, 48.013, 2.503, 0.033, 0.010, 0.673, 129.565, 0.024
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/11a.sql...
11.783, 0.013, 0.628, 0.081, 0.417, 1.778, 0.038, 0.500, 10.713, 0.070, 0.041, 0.997, 0.034, 0.631, 10.576, 0.059, 0.038, 0.015, 0.765, 10.088, 0.016
0.035, 0.011, 0.664, 0.080, 0.432, 1.588, 0.034, 0.473, 8.112, 0.050, 0.050, 1.657, 0.038, 1.175, 7.037, 0.036, 0.023, 0.009, 0.464, 7.273, 0.011
0.021, 0.009, 0.288, 0.046, 0.405, 1.471, 0.031, 0.438, 7.128, 0.037, 0.032, 0.827, 0.030, 0.579, 6.810, 0.037, 0.024, 0.009, 0.510, 7.164, 0.011
0.025, 0.009, 0.293, 0.094, 0.403, 1.479, 0.032, 0.441, 7.246, 0.038, 0.033, 0.847, 0.031, 0.592, 6.574, 0.040, 0.024, 0.009, 0.494, 7.025, 0.011
0.022, 0.008, 0.293, 0.047, 0.414, 1.560, 0.031, 0.449, 7.310, 0.038, 0.034, 0.841, 0.032, 0.591, 6.467, 0.036, 0.023, 0.008, 0.460, 7.022, 0.010
0.022, 0.012, 0.291, 0.047, 0.415, 1.496, 0.031, 0.445, 6.996, 0.038, 0.034, 0.847, 0.031, 0.591, 7.100, 0.036, 0.023, 0.009, 0.462, 7.000, 0.010
0.025, 0.009, 0.292, 0.046, 0.411, 1.517, 0.027, 0.448, 7.016, 0.037, 0.034, 0.841, 0.032, 0.591, 7.019, 0.034, 0.023, 0.009, 0.465, 6.961, 0.011
0.023, 0.009, 0.292, 0.048, 0.413, 1.497, 0.031, 0.493, 6.671, 0.037, 0.033, 0.837, 0.031, 0.595, 6.986, 0.036, 0.024, 0.009, 0.476, 7.019, 0.010
0.024, 0.009, 0.291, 0.047, 0.417, 1.506, 0.032, 0.449, 7.172, 0.038, 0.033, 0.842, 0.031, 0.591, 6.994, 0.035, 0.023, 0.009, 0.461, 7.007, 0.010
0.023, 0.009, 0.292, 0.046, 0.412, 1.545, 0.031, 0.447, 7.312, 0.037, 0.033, 0.842, 0.031, 0.591, 6.465, 0.034, 0.024, 0.009, 0.463, 7.021, 0.010
0.024, 0.009, 0.291, 0.048, 0.412, 1.497, 0.032, 0.448, 6.914, 0.037, 0.034, 0.840, 0.032, 0.592, 6.348, 0.034, 0.023, 0.008, 0.461, 6.895, 0.010
0.027, 0.009, 0.294, 0.047, 0.412, 1.510, 0.031, 0.447, 7.132, 0.039, 0.033, 0.844, 0.032, 0.592, 6.302, 0.036, 0.024, 0.009, 0.461, 7.028, 0.011
0.023, 0.009, 0.308, 0.048, 0.415, 1.512, 0.032, 0.451, 6.818, 0.037, 0.035, 0.842, 0.031, 0.598, 6.777, 0.035, 0.024, 0.009, 0.466, 7.001, 0.011
0.025, 0.009, 0.300, 0.048, 0.412, 1.528, 0.033, 0.451, 6.863, 0.038, 0.034, 0.849, 0.031, 0.591, 6.317, 0.034, 0.024, 0.009, 0.470, 6.923, 0.010
0.026, 0.009, 0.293, 0.047, 0.411, 1.507, 0.032, 0.449, 6.833, 0.038, 0.033, 0.846, 0.032, 0.595, 7.408, 0.045, 0.025, 0.009, 0.496, 6.914, 0.011
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/11b.sql...
11.935, 0.014, 0.605, 0.080, 0.427, 1.822, 0.039, 0.553, 13.436, 0.060, 0.040, 0.954, 0.032, 0.606, 6.972, 0.042, 0.025, 0.009, 0.522, 11.129, 0.015
