Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
0.000, 0.013, 0.611, 0.064, 0.223, 2.171, 0.037, 39.195, 5.935, 0.044, 0.029, 0.011, 218.272, 30.251, 0.033
0.092, 0.011, 0.401, 0.038, 0.216, 1.019, 0.028, 16.286, 4.083, 0.028, 0.027, 0.011, 19.097, 29.559, 0.014
0.044, 0.012, 0.367, 0.038, 0.222, 1.028, 0.028, 16.371, 4.166, 0.029, 0.027, 0.010, 19.264, 29.456, 0.015
0.048, 0.011, 0.376, 0.038, 0.222, 1.063, 0.027, 16.300, 4.199, 0.027, 0.027, 0.011, 19.307, 28.997, 0.013
0.044, 0.011, 0.367, 0.039, 0.223, 1.096, 0.028, 16.471, 4.097, 0.027, 0.028, 0.010, 19.294, 29.780, 0.025
0.050, 0.012, 0.383, 0.038, 0.220, 1.076, 0.028, 16.521, 4.014, 0.028, 0.026, 0.010, 19.195, 29.733, 0.026
0.072, 0.011, 0.333, 0.038, 0.223, 1.101, 0.028, 16.617, 4.103, 0.026, 0.027, 0.011, 19.397, 29.695, 0.012
0.045, 0.011, 0.510, 0.055, 0.682, 1.039, 0.028, 16.516, 4.026, 0.027, 0.027, 0.010, 19.398, 28.970, 0.012
0.042, 0.012, 0.337, 0.039, 0.222, 1.101, 0.029, 16.466, 4.206, 0.028, 0.026, 0.010, 19.326, 28.802, 0.026
0.070, 0.010, 0.360, 0.037, 0.220, 1.022, 0.028, 16.329, 4.141, 0.025, 0.029, 0.013, 21.234, 28.768, 0.015
0.045, 0.011, 0.513, 0.055, 0.688, 1.029, 0.028, 16.518, 3.990, 0.029, 0.028, 0.011, 19.431, 28.890, 0.015
0.046, 0.010, 0.374, 0.036, 0.219, 1.077, 0.027, 16.238, 4.160, 0.026, 0.026, 0.010, 19.295, 29.090, 0.012
0.075, 0.011, 0.364, 0.038, 0.220, 1.021, 0.027, 16.381, 4.179, 0.027, 0.027, 0.011, 19.436, 29.004, 0.013
0.060, 0.011, 0.349, 0.038, 0.227, 1.057, 0.029, 16.495, 4.230, 0.026, 0.030, 0.012, 19.291, 30.325, 0.013
0.060, 0.011, 0.372, 0.038, 0.222, 1.036, 0.028, 16.553, 4.193, 0.028, 0.027, 0.010, 19.302, 28.854, 0.012
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10b.sql...
0.064, 0.011, 0.338, 0.038, 0.225, 1.052, 0.029, 16.612, 3.273, 0.036, 0.025, 0.010, 18.075, 24.904, 0.014
0.041, 0.011, 0.351, 0.038, 0.219, 1.087, 0.027, 16.144, 3.457, 0.027, 0.026, 0.010, 17.948, 24.791, 0.027
0.039, 0.011, 0.326, 0.036, 0.215, 1.055, 0.028, 16.105, 3.414, 0.025, 0.025, 0.010, 17.709, 24.635, 0.011
0.037, 0.010, 0.309, 0.037, 0.219, 1.068, 0.028, 16.253, 3.381, 0.026, 0.029, 0.012, 18.788, 24.823, 0.012
0.062, 0.010, 0.348, 0.036, 0.219, 1.020, 0.027, 16.274, 3.441, 0.025, 0.025, 0.011, 18.126, 25.187, 0.012
0.071, 0.011, 0.357, 0.038, 0.220, 1.039, 0.028, 16.433, 3.424, 0.038, 0.029, 0.013, 19.093, 24.689, 0.011
0.042, 0.012, 0.335, 0.037, 0.218, 1.028, 0.028, 16.401, 3.399, 0.025, 0.026, 0.009, 18.056, 24.749, 0.012
0.035, 0.010, 0.342, 0.036, 0.217, 1.025, 0.028, 16.384, 3.455, 0.040, 0.026, 0.009, 17.824, 24.844, 0.012
0.070, 0.011, 0.349, 0.037, 0.217, 1.016, 0.027, 16.347, 3.417, 0.024, 0.026, 0.009, 17.982, 24.854, 0.014
0.063, 0.010, 0.316, 0.038, 0.218, 1.081, 0.029, 16.497, 3.463, 0.039, 0.025, 0.011, 17.903, 24.607, 0.011
0.048, 0.014, 0.352, 0.038, 0.276, 1.032, 0.029, 16.392, 3.239, 0.040, 0.025, 0.010, 17.914, 24.593, 0.012
0.040, 0.011, 0.340, 0.036, 0.218, 1.023, 0.028, 16.400, 3.407, 0.040, 0.026, 0.009, 17.905, 25.351, 0.013
0.041, 0.010, 0.325, 0.036, 0.217, 1.021, 0.027, 16.269, 3.316, 0.035, 0.025, 0.010, 23.776, 24.762, 0.012
0.041, 0.011, 0.566, 0.037, 0.218, 1.030, 0.028, 16.596, 4.415, 0.024, 0.025, 0.010, 18.031, 24.607, 0.025
0.066, 0.010, 0.364, 0.036, 0.217, 1.032, 0.028, 16.340, 3.203, 0.038, 0.028, 0.012, 20.748, 24.728, 0.012
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10c.sql...
0.035, 0.010, 0.334, 0.034, 0.217, 1.025, 0.027, 16.351, 44.197, 0.047, 0.030, 0.009, 1.400, 147.804, 0.039
0.081, 0.023, 0.294, 0.033, 0.215, 0.987, 0.027, 16.213, 39.893, 0.049, 0.031, 0.010, 1.351, 122.390, 0.011
0.109, 0.012, 0.292, 0.033, 0.265, 0.997, 0.027, 16.360, 39.826, 0.046, 0.030, 0.010, 1.282, 123.053, 0.012
0.086, 0.011, 0.254, 0.036, 0.219, 1.022, 0.029, 16.425, 39.068, 0.050, 0.032, 0.010, 1.369, 121.849, 0.011
0.074, 0.012, 0.253, 0.034, 0.219, 1.058, 0.029, 16.550, 37.278, 0.048, 0.032, 0.010, 1.330, 123.829, 0.011
0.087, 0.011, 0.267, 0.034, 0.215, 0.991, 0.027, 16.178, 38.571, 0.048, 0.031, 0.010, 1.259, 123.905, 0.011
0.078, 0.011, 0.263, 0.033, 0.244, 1.064, 0.028, 16.317, 37.534, 0.048, 0.031, 0.010, 1.293, 121.629, 0.031
0.098, 0.011, 0.265, 0.033, 0.216, 0.995, 0.027, 16.191, 36.884, 0.045, 0.030, 0.009, 1.268, 122.626, 0.012
0.088, 0.010, 0.257, 0.035, 0.220, 1.024, 0.029, 16.478, 37.763, 0.047, 0.031, 0.010, 1.275, 121.710, 0.011
0.079, 0.011, 0.272, 0.035, 0.220, 1.013, 0.028, 16.581, 38.577, 0.047, 0.031, 0.009, 1.302, 120.697, 0.025
0.102, 0.011, 0.261, 0.062, 0.214, 0.992, 0.028, 16.137, 39.664, 0.049, 0.031, 0.009, 1.228, 120.504, 0.014
0.097, 0.011, 0.303, 0.032, 0.215, 0.995, 0.027, 16.330, 38.197, 0.047, 0.031, 0.010, 1.243, 126.885, 0.027
0.088, 0.023, 0.267, 0.048, 0.215, 0.994, 0.027, 16.364, 40.727, 0.049, 0.031, 0.025, 1.305, 120.982, 0.039
0.108, 0.010, 0.300, 0.033, 0.217, 1.063, 0.028, 16.601, 40.775, 0.047, 0.031, 0.010, 1.285, 126.540, 0.012
0.085, 0.010, 0.252, 0.035, 0.220, 1.005, 0.059, 16.518, 39.705, 0.048, 0.031, 0.010, 1.287, 122.099, 0.028
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/11a.sql...
0.080, 0.011, 0.331, 0.038, 0.215, 1.239, 0.027, 13.868, 0.931, 0.019, 0.030, 0.864, 0.028, 34.605, 1.338, 0.031, 0.024, 0.010, 15.301, 1.651, 0.012
0.067, 0.015, 0.469, 0.040, 0.219, 1.277, 0.028, 13.745, 1.235, 0.019, 0.029, 0.857, 0.029, 20.542, 0.756, 0.029, 0.025, 0.012, 11.826, 1.717, 0.027
0.054, 0.011, 0.388, 0.042, 0.217, 1.280, 0.028, 14.091, 1.189, 0.019, 0.035, 1.282, 0.028, 20.881, 0.787, 0.018, 0.026, 0.012, 12.406, 1.739, 0.011
0.052, 0.015, 0.363, 0.042, 0.220, 1.292, 0.029, 14.061, 0.973, 0.017, 0.030, 0.867, 0.029, 20.868, 0.907, 0.016, 0.023, 0.009, 12.063, 1.622, 0.012
0.053, 0.015, 0.366, 0.043, 0.225, 1.331, 0.029, 14.158, 0.899, 0.017, 0.031, 0.881, 0.029, 21.158, 0.864, 0.016, 0.023, 0.009, 12.087, 1.614, 0.012
0.051, 0.014, 0.368, 0.041, 0.225, 1.319, 0.028, 14.214, 1.026, 0.018, 0.032, 0.885, 0.030, 21.115, 0.744, 0.018, 0.026, 0.011, 13.798, 1.752, 0.014
0.056, 0.012, 0.372, 0.043, 0.226, 1.322, 0.028, 14.155, 0.824, 0.018, 0.037, 1.336, 0.029, 21.081, 0.974, 0.018, 0.022, 0.009, 12.086, 1.639, 0.012
0.050, 0.015, 0.408, 0.043, 0.226, 1.316, 0.029, 14.232, 1.044, 0.018, 0.031, 0.878, 0.030, 21.115, 0.933, 0.016, 0.023, 0.009, 12.076, 1.645, 0.012
0.055, 0.015, 0.363, 0.042, 0.236, 1.321, 0.028, 14.141, 1.152, 0.019, 0.031, 0.886, 0.029, 21.141, 0.682, 0.016, 0.026, 0.012, 12.245, 1.653, 0.012
0.050, 0.014, 0.366, 0.043, 0.225, 1.367, 0.029, 14.183, 1.086, 0.018, 0.035, 1.038, 0.030, 21.169, 0.734, 0.017, 0.022, 0.010, 12.069, 1.749, 0.012
0.051, 0.015, 0.366, 0.043, 0.227, 1.323, 0.029, 14.200, 0.949, 0.018, 0.030, 0.879, 0.030, 21.158, 0.744, 0.017, 0.026, 0.011, 12.808, 1.579, 0.012
0.051, 0.015, 0.412, 0.043, 0.225, 1.319, 0.028, 14.155, 1.366, 0.019, 0.031, 0.882, 0.029, 21.163, 0.724, 0.016, 0.022, 0.010, 12.055, 1.660, 0.012
