Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
0.000, 0.041, 1.138, 0.166, 30.104, 1.768, 1.923, 0.264, 37.197, 19.075, 0.508, 1.137, 0.355, 0.956, 0.349, 0.887, 0.291, 0.902, 0.323, 0.918, 0.396, 0.926, 0.336, 1.812, 4.514, 1.707, 4.576, 1.141, 15.255, 0.329, 14.795, 0.302, 0.103, 0.301, 0.367, 0.386, 1.478, 0.368, 0.095, 0.314, 0.848, 0.357, 1.012, 0.302, 15.481, 0.455, 3.956, 0.353, 3.375, 0.306, 38.857, 0.395, 34.095, 0.316, 4.655, 0.321, 3.673, 0.295, 4.635, 0.310, 35.204, 0.013, 0.022, 189.078, 19.143, 0.033, 0.031, 0.007, 0.015, 1.402, 8.368, 0.048, 0.027, 0.007, 0.020, 2.849, 2.730, 0.017, 0.019, 0.006, 0.018, 0.591, 0.488, 0.014, 0.012, 0.005, 0.019, 18.088, 1.360, 0.028, 0.012, 0.011, 23.058, 1.350, 0.025
0.190, 0.012, 0.290, 0.032, 0.592, 0.008, 0.016, 0.920, 16.766, 0.038, 0.027, 0.007, 0.016, 0.745, 10.815, 0.048, 0.028, 0.007, 0.021, 3.143, 2.637, 0.016, 0.019, 0.007, 0.019, 0.621, 0.499, 0.014, 0.013, 0.006, 0.020, 0.626, 1.327, 0.018, 0.011, 0.006, 0.725, 1.288, 0.011
0.245, 0.013, 0.437, 0.051, 0.706, 0.008, 0.017, 0.928, 16.984, 0.036, 0.028, 0.008, 0.016, 1.085, 11.782, 0.048, 0.029, 0.008, 0.029, 3.026, 2.709, 0.016, 0.020, 0.007, 0.019, 0.626, 0.528, 0.015, 0.013, 0.006, 0.020, 0.635, 1.383, 0.018, 0.012, 0.006, 0.731, 1.234, 0.013
0.210, 0.012, 0.297, 0.044, 0.603, 0.008, 0.017, 0.911, 17.050, 0.035, 0.027, 0.007, 0.016, 0.748, 11.644, 0.047, 0.028, 0.007, 0.022, 3.009, 2.683, 0.017, 0.020, 0.007, 0.019, 0.613, 0.469, 0.013, 0.012, 0.006, 0.019, 0.661, 1.372, 0.015, 0.011, 0.006, 0.699, 1.313, 0.011
0.338, 0.012, 0.263, 0.036, 0.612, 0.008, 0.018, 0.955, 16.954, 0.037, 0.028, 0.008, 0.016, 0.757, 11.932, 0.050, 0.029, 0.007, 0.021, 3.032, 2.747, 0.019, 0.019, 0.007, 0.020, 0.645, 0.451, 0.017, 0.014, 0.006, 0.020, 0.648, 1.377, 0.019, 0.012, 0.006, 0.751, 1.357, 0.014
0.280, 0.013, 0.272, 0.034, 0.595, 0.008, 0.017, 0.922, 17.203, 0.035, 0.027, 0.007, 0.015, 0.716, 11.501, 0.047, 0.027, 0.007, 0.020, 3.140, 2.746, 0.018, 0.020, 0.007, 0.021, 0.806, 0.594, 0.014, 0.013, 0.005, 0.019, 0.609, 1.382, 0.018, 0.013, 0.007, 0.936, 1.258, 0.011
0.321, 0.013, 0.338, 0.043, 0.597, 0.008, 0.017, 0.924, 16.987, 0.037, 0.027, 0.007, 0.016, 0.746, 11.815, 0.049, 0.029, 0.007, 0.022, 3.197, 2.681, 0.018, 0.020, 0.007, 0.020, 0.642, 0.459, 0.014, 0.013, 0.006, 0.020, 0.643, 1.362, 0.017, 0.012, 0.007, 0.730, 1.267, 0.012
0.345, 0.013, 0.439, 0.051, 0.862, 0.009, 0.021, 1.297, 17.206, 0.035, 0.029, 0.007, 0.016, 1.006, 11.816, 0.047, 0.028, 0.008, 0.022, 3.023, 2.746, 0.016, 0.018, 0.007, 0.020, 0.628, 0.437, 0.015, 0.015, 0.007, 0.022, 0.873, 1.368, 0.017, 0.011, 0.007, 0.729, 1.266, 0.011
0.224, 0.013, 0.292, 0.033, 0.604, 0.008, 0.017, 0.935, 16.831, 0.038, 0.029, 0.007, 0.016, 0.908, 11.751, 0.046, 0.029, 0.007, 0.021, 3.018, 2.749, 0.020, 0.021, 0.007, 0.019, 0.650, 0.342, 0.014, 0.013, 0.006, 0.020, 0.642, 1.344, 0.019, 0.011, 0.006, 0.748, 1.319, 0.011
0.247, 0.013, 0.435, 0.051, 0.859, 0.009, 0.020, 1.282, 16.812, 0.037, 0.030, 0.008, 0.017, 1.100, 11.901, 0.047, 0.028, 0.007, 0.021, 3.023, 2.725, 0.021, 0.021, 0.007, 0.019, 0.667, 0.410, 0.014, 0.013, 0.006, 0.020, 0.651, 1.353, 0.019, 0.013, 0.007, 0.978, 1.341, 0.011
0.413, 0.012, 0.272, 0.033, 0.601, 0.008, 0.017, 0.930, 17.173, 0.038, 0.028, 0.008, 0.016, 0.751, 11.551, 0.045, 0.028, 0.007, 0.021, 3.057, 2.772, 0.020, 0.020, 0.007, 0.019, 0.629, 0.613, 0.017, 0.013, 0.006, 0.020, 0.636, 1.353, 0.031, 0.011, 0.007, 0.711, 1.240, 0.011
