Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
0.000, 0.016, 3.625, 71.078, 0.015
0.058, 0.011, 1.381, 44.682, 0.012
0.059, 0.011, 1.400, 44.534, 0.027
0.047, 0.012, 1.292, 44.768, 0.012
0.062, 0.011, 1.372, 44.208, 0.028
0.059, 0.010, 1.423, 44.909, 0.027
0.045, 0.011, 1.275, 43.786, 0.012
0.048, 0.011, 1.285, 44.696, 0.012
0.061, 0.011, 1.346, 44.247, 0.027
0.048, 0.011, 1.295, 44.084, 0.012
0.048, 0.011, 1.323, 45.276, 0.027
0.058, 0.011, 1.379, 44.593, 0.027
0.049, 0.011, 1.303, 44.594, 0.011
0.057, 0.011, 1.304, 44.530, 0.027
0.047, 0.011, 1.340, 44.502, 0.012
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10b.sql...
0.044, 0.011, 1.241, 40.180, 0.012
0.033, 0.011, 1.242, 39.807, 0.010
0.036, 0.011, 1.311, 40.573, 0.011
0.034, 0.011, 1.320, 40.407, 0.012
0.034, 0.011, 1.315, 40.493, 0.011
0.034, 0.011, 1.304, 39.724, 0.026
0.033, 0.011, 1.243, 42.159, 0.012
0.034, 0.011, 1.300, 39.844, 0.011
0.037, 0.011, 1.385, 40.700, 0.011
0.035, 0.011, 1.326, 40.005, 0.011
0.054, 0.015, 1.360, 39.535, 0.011
0.036, 0.010, 1.269, 39.741, 0.015
0.043, 0.014, 1.352, 40.551, 0.011
0.035, 0.011, 1.280, 39.915, 0.012
0.035, 0.011, 1.255, 39.439, 0.011
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10c.sql...
0.032, 0.011, 1.102, 170.322, 0.012
0.030, 0.010, 1.108, 156.483, 0.011
0.034, 0.010, 1.180, 157.528, 0.013
0.034, 0.012, 1.137, 158.980, 0.012
0.033, 0.011, 1.202, 157.840, 0.012
0.033, 0.011, 1.156, 159.424, 0.012
0.033, 0.011, 1.134, 163.747, 0.012
0.033, 0.011, 1.167, 155.802, 0.012
0.032, 0.011, 1.133, 160.777, 0.012
0.033, 0.011, 1.121, 165.699, 0.012
0.038, 0.014, 1.137, 162.078, 0.011
0.035, 0.011, 1.161, 161.003, 0.012
0.039, 0.014, 1.147, 161.454, 0.012
0.031, 0.011, 1.126, 165.657, 0.012
0.032, 0.011, 1.132, 161.802, 0.013
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/11a.sql...
0.028, 0.011, 3.559, 10.910, 0.012
0.015, 0.012, 2.130, 11.728, 0.025
0.015, 0.012, 2.162, 10.295, 0.010
0.016, 0.011, 2.153, 9.705, 0.025
0.014, 0.014, 2.142, 9.886, 0.010
0.028, 0.011, 2.113, 10.289, 0.032
0.016, 0.011, 2.130, 9.778, 0.025
0.016, 0.011, 2.144, 9.756, 0.010
0.015, 0.012, 2.199, 11.341, 0.026
0.015, 0.012, 2.163, 10.100, 0.011
0.017, 0.014, 2.157, 9.577, 0.011
0.015, 0.012, 2.144, 9.846, 0.026
0.017, 0.014, 2.164, 9.816, 0.025
0.016, 0.011, 2.122, 10.096, 0.025
0.016, 0.011, 2.064, 11.143, 0.026
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/11b.sql...
0.040, 0.011, 1.990, 8.290, 0.012
0.031, 0.010, 2.033, 8.791, 0.026
0.033, 0.010, 2.028, 8.511, 0.012
0.033, 0.010, 2.023, 8.842, 0.026
0.034, 0.010, 2.051, 8.479, 0.012
0.034, 0.010, 2.012, 8.735, 0.011
0.034, 0.010, 2.082, 8.904, 0.027
0.062, 0.010, 1.952, 8.775, 0.026
0.037, 0.010, 2.066, 8.862, 0.027
0.035, 0.011, 2.038, 8.759, 0.013
0.060, 0.014, 2.020, 8.584, 0.012
0.034, 0.011, 2.028, 8.944, 0.015
0.040, 0.058, 1.987, 9.299, 0.026
0.036, 0.011, 1.988, 8.951, 0.026
0.036, 0.011, 2.124, 9.088, 0.026
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/11c.sql...
0.035, 0.011, 3.984, 91.687, 0.012
0.040, 0.011, 2.130, 103.131, 0.012
0.040, 0.011, 2.096, 98.457, 0.012
0.040, 0.011, 2.165, 93.181, 0.012
0.043, 0.012, 2.093, 102.505, 0.027
0.041, 0.011, 2.182, 91.902, 0.012
0.042, 0.011, 2.212, 95.804, 0.011
0.040, 0.011, 2.140, 101.075, 0.012
0.044, 0.012, 2.161, 109.848, 0.012
0.042, 0.011, 2.169, 99.642, 0.012
0.048, 0.015, 2.151, 101.358, 0.011
0.041, 0.011, 2.152, 96.113, 0.011
0.065, 0.011, 2.185, 109.255, 0.012
0.040, 0.011, 2.119, 101.061, 0.012
0.041, 0.011, 2.216, 106.027, 0.012
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/11d.sql...
0.050, 0.012, 2.557, 253.404, 0.027
0.045, 0.012, 2.041, 264.648, 0.027
0.046, 0.011, 2.065, 245.403, 0.026
0.049, 0.011, 2.088, 252.253, 0.028
0.048, 0.012, 2.161, 248.666, 0.027
0.045, 0.012, 2.048, 241.507, 0.026
0.049, 0.011, 2.051, 288.843, 0.031
0.047, 0.029, 2.063, 307.464, 0.027
0.048, 0.012, 2.062, 265.468, 0.027
0.047, 0.011, 2.089, 260.588, 0.026
0.060, 0.015, 2.078, 263.541, 0.027
0.048, 0.011, 2.055, 287.564, 0.028
0.060, 0.016, 2.118, 262.941, 0.026
0.046, 0.012, 2.058, 265.907, 0.012
0.048, 0.012, 2.097, 289.234, 0.026
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/12a.sql...
0.043, 0.012, 3.591, 25.110, 0.014
0.048, 0.012, 2.208, 21.326, 0.026
0.046, 0.012, 2.200, 21.457, 0.026
0.050, 0.011, 2.675, 20.761, 0.027
0.047, 0.011, 2.176, 21.176, 0.027
0.047, 0.012, 2.164, 21.843, 0.026
0.050, 0.011, 2.162, 19.617, 0.027
0.048, 0.011, 2.204, 20.289, 0.027
0.047, 0.012, 2.183, 22.559, 0.027
0.048, 0.011, 2.163, 20.788, 0.027
0.049, 0.012, 2.647, 22.435, 0.026
0.050, 0.012, 2.183, 22.609, 0.027
0.047, 0.012, 2.167, 22.423, 0.027
0.045, 0.011, 2.096, 21.542, 0.012
0.049, 0.011, 2.226, 20.791, 0.027
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/12b.sql...
0.060, 0.011, 2.642, 36.194, 0.012
0.057, 0.011, 2.170, 36.177, 0.011
0.057, 0.012, 2.143, 34.370, 0.012
0.058, 0.012, 2.158, 34.817, 0.026
0.056, 0.012, 2.050, 36.930, 0.013
0.057, 0.011, 2.074, 34.634, 0.026
0.057, 0.010, 2.026, 36.972, 0.028
0.054, 0.012, 2.063, 34.841, 0.012
0.056, 0.012, 2.077, 36.338, 0.024
0.056, 0.011, 2.137, 35.988, 0.027
0.054, 0.011, 2.076, 36.836, 0.012
0.054, 0.011, 2.079, 35.156, 0.027
0.052, 0.011, 2.125, 39.615, 0.012
0.055, 0.017, 2.021, 39.435, 0.012
0.057, 0.011, 2.118, 35.008, 0.012
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/12c.sql...
0.043, 0.011, 2.862, 29.210, 0.012
0.044, 0.011, 2.131, 29.766, 0.027
0.045, 0.012, 2.161, 29.115, 0.012
0.042, 0.012, 2.154, 29.945, 0.026
0.079, 0.012, 2.105, 29.332, 0.012
0.044, 0.011, 2.206, 29.023, 0.012
0.043, 0.012, 2.132, 28.849, 0.012
0.043, 0.011, 2.081, 28.927, 0.012
0.042, 0.011, 2.156, 30.347, 0.026
0.044, 0.024, 2.174, 29.276, 0.026
0.042, 0.011, 2.086, 29.634, 0.011
0.043, 0.011, 2.212, 29.608, 0.012
0.042, 0.012, 2.129, 30.803, 0.012
0.044, 0.012, 2.122, 29.113, 0.011
0.043, 0.011, 2.142, 29.917, 0.012
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/13a.sql...
0.058, 0.011, 3.431, 23.420, 0.012
0.058, 0.011, 2.685, 22.506, 0.011
0.055, 0.012, 2.696, 22.356, 0.012
0.057, 0.011, 2.692, 22.573, 0.012
0.057, 0.012, 2.635, 22.739, 0.011
0.056, 0.011, 2.734, 22.420, 0.012
0.053, 0.011, 2.633, 22.558, 0.015
0.057, 0.011, 2.635, 22.215, 0.011
0.058, 0.011, 2.690, 22.273, 0.012
0.057, 0.011, 2.802, 22.382, 0.012
0.058, 0.011, 2.630, 21.849, 0.011
0.057, 0.012, 2.730, 22.473, 0.012
0.056, 0.011, 2.710, 21.764, 0.012
0.054, 0.011, 2.620, 21.982, 0.012
0.055, 0.012, 2.670, 22.700, 0.012
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/13b.sql...
0.045, 0.011, 3.677, 43.485, 0.012
0.047, 0.011, 2.894, 45.753, 0.011
0.047, 0.011, 2.874, 45.775, 0.011
0.048, 0.011, 2.888, 46.064, 0.012
0.046, 0.012, 2.870, 44.573, 0.012
0.050, 0.011, 2.883, 45.417, 0.012
0.049, 0.010, 2.856, 47.310, 0.012
0.046, 0.012, 2.827, 46.289, 0.012
0.046, 0.011, 2.885, 45.440, 0.012
0.048, 0.011, 2.935, 44.677, 0.012
0.046, 0.012, 2.869, 44.803, 0.012
0.048, 0.011, 2.883, 45.593, 0.011
0.047, 0.011, 2.889, 49.687, 0.012
0.047, 0.012, 2.875, 46.019, 0.012
0.045, 0.011, 2.869, 45.889, 0.012
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/13c.sql...
0.049, 0.011, 3.621, 42.666, 0.011
0.050, 0.012, 2.921, 43.651, 0.012
0.049, 0.013, 2.855, 44.462, 0.012
0.048, 0.011, 2.881, 42.431, 0.012
0.048, 0.012, 2.876, 44.373, 0.012
0.049, 0.011, 2.899, 45.787, 0.012
0.049, 0.011, 2.814, 43.864, 0.012
0.047, 0.011, 2.865, 42.308, 0.012
0.049, 0.012, 2.937, 42.717, 0.013
0.050, 0.012, 2.872, 44.068, 0.012
0.048, 0.012, 2.860, 42.709, 0.013
0.048, 0.012, 2.877, 43.490, 0.012
0.049, 0.011, 2.827, 43.509, 0.012
0.051, 0.011, 2.902, 43.967, 0.012
0.047, 0.011, 2.909, 44.554, 0.012
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/13d.sql...
0.047, 0.011, 2.650, 58.453, 0.012
0.050, 0.011, 2.722, 58.803, 0.012
0.076, 0.012, 2.670, 59.486, 0.012
0.048, 0.011, 2.678, 65.364, 0.012
0.047, 0.012, 2.678, 64.023, 0.012
0.049, 0.011, 2.683, 55.875, 0.011
0.048, 0.012, 2.690, 62.759, 0.012
0.046, 0.011, 2.658, 63.640, 0.012
0.047, 0.012, 2.677, 62.031, 0.012
0.048, 0.011, 2.719, 63.799, 0.012
0.048, 0.011, 2.728, 58.467, 0.012
0.046, 0.011, 2.667, 64.466, 0.014
0.048, 0.011, 2.707, 64.579, 0.011
0.045, 0.012, 2.661, 59.991, 0.012
0.047, 0.012, 2.738, 63.951, 0.012
