Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.304, 1.057, 0.101, 0.554, 0.240, 0.152, 1.729, 0.532, 0.886, 6.703, , , , 2.598, 14.856
0.333, 1.055, 0.186, 0.907, 0.346, 0.161, 1.841, 0.470, 1.050, 7.234, , , , 56.115, 69.698
0.240, 0.817, 0.134, 0.806, 0.346, 0.225, 1.700, 0.453, 0.953, 6.797, , , , 0.349, 12.820
0.225, 0.837, 0.132, 0.807, 0.372, 0.197, 1.720, 0.452, 0.964, 6.806, , , , 0.399, 12.911
0.232, 0.883, 0.180, 1.014, 0.535, 0.164, 2.110, 0.532, 1.211, 9.948, , , , 1.639, 18.448
0.261, 1.017, 0.101, 0.607, 0.212, 0.123, 1.445, 0.401, 0.742, 6.200, , , , 2.552, 13.661
0.331, 0.877, 0.104, 0.575, 0.245, 0.147, 1.760, 0.467, 0.901, 6.904, , , , 2.581, 14.892
0.246, 0.874, 0.143, 0.623, 0.307, 0.167, 1.945, 0.476, 1.047, 7.453, , , , 55.871, 69.152
0.233, 0.941, 0.102, 0.548, 0.263, 0.151, 1.666, 0.438, 0.933, 6.974, , , , 0.922, 13.171
0.236, 0.634, 0.096, 0.597, 0.243, 0.152, 1.723, 0.449, 0.958, 6.858, , , , 0.434, 12.380
0.238, 0.756, 0.144, 0.712, 0.422, 0.163, 2.157, 0.525, 1.196, 10.080, , , , 2.089, 18.482
0.314, 1.272, 0.121, 0.835, 0.345, 0.241, 2.739, 0.750, 0.964, 6.495, , , , 2.427, 16.503
0.360, 0.903, 0.110, 0.586, 0.249, 0.150, 1.772, 0.478, 0.911, 6.838, , , , 2.353, 14.710
0.319, 1.043, 0.133, 0.577, 0.298, 0.163, 1.886, 0.468, 1.037, 7.453, , , , 56.492, 69.869
0.349, 0.606, 0.144, 0.541, 0.216, 0.151, 1.673, 0.436, 0.956, 6.758, , , , 0.482, 12.312
0.258, 1.196, 0.136, 0.858, 0.350, 0.154, 1.710, 0.444, 1.006, 6.898, , , , 1.192, 14.202
0.244, 0.688, 0.281, 0.689, 0.423, 0.162, 2.098, 0.529, 1.193, 10.148, , , , 1.422, 17.877
0.264, 1.056, 0.102, 0.554, 0.197, 0.123, 1.520, 0.411, 0.730, 6.022, , , , 2.525, 13.504
0.251, 0.959, 0.104, 0.556, 0.248, 0.153, 1.863, 0.460, 0.913, 6.989, , , , 1.748, 14.244
0.287, 1.076, 0.131, 0.629, 0.314, 0.162, 1.813, 0.479, 1.081, 7.564, , , , 56.171, 69.707
0.197, 0.760, 0.100, 0.540, 0.220, 0.154, 1.678, 0.446, 0.994, 7.161, , , , 0.960, 13.210
0.195, 0.850, 0.100, 0.549, 0.243, 0.153, 1.713, 0.456, 0.986, 7.187, , , , 0.873, 13.305
0.231, 0.695, 0.136, 0.687, 0.431, 0.167, 2.121, 0.557, 1.178, 9.754, , , , 1.926, 17.883
0.552, 1.014, 0.122, 0.833, 0.326, 0.125, 1.444, 0.404, 0.735, 6.089, , , , 2.563, 14.207
0.319, 1.061, 0.203, 0.855, 0.344, 0.155, 1.721, 0.470, 0.945, 6.593, , , , 2.543, 15.209
0.237, 0.889, 0.139, 0.599, 0.312, 0.167, 1.950, 0.492, 1.069, 7.425, , , , 55.953, 69.232
0.247, 0.792, 0.138, 0.803, 0.336, 0.249, 1.751, 0.438, 0.951, 6.848, , , , 0.358, 12.911
0.245, 0.881, 0.169, 0.808, 0.372, 0.245, 1.704, 0.447, 0.963, 6.683, , , , 0.437, 12.954
0.295, 0.846, 0.228, 1.014, 0.517, 0.162, 2.104, 0.535, 1.195, 9.740, , , , 1.307, 17.943
0.550, 1.013, 0.123, 0.838, 0.354, 0.245, 2.755, 0.749, 0.924, 6.267, , , , 2.373, 16.191
0.614, 0.770, 0.109, 0.583, 0.244, 0.150, 1.802, 0.496, 0.893, 6.952, , , , 2.310, 14.923
0.334, 1.043, 0.181, 0.897, 0.450, 0.168, 1.853, 0.480, 1.039, 7.290, , , , 55.919, 69.654
0.278, 0.835, 0.101, 0.539, 0.220, 0.152, 1.700, 0.446, 0.974, 6.909, , , , 0.982, 13.136
0.218, 0.663, 0.099, 0.541, 0.240, 0.152, 1.707, 0.452, 0.997, 6.786, , , , 0.447, 12.302
0.258, 1.092, 0.136, 0.732, 0.416, 0.162, 2.066, 0.527, 1.199, 9.760, , , , 2.165, 18.513
0.320, 0.958, 0.139, 0.856, 0.349, 0.161, 1.465, 0.414, 0.730, 6.100, , , , 1.770, 13.262
0.281, 0.827, 0.107, 0.599, 0.243, 0.151, 1.798, 0.477, 0.910, 6.958, , , , 2.426, 14.777
0.296, 0.925, 0.145, 0.628, 0.316, 0.167, 1.931, 0.482, 1.070, 7.504, , , , 55.976, 69.440
0.497, 0.724, 0.100, 0.568, 0.226, 0.155, 1.748, 0.452, 0.974, 6.964, , , , 1.005, 13.413
0.230, 0.875, 0.140, 0.815, 0.376, 0.286, 1.827, 0.457, 0.961, 6.712, , , , 0.543, 13.222
0.342, 0.734, 0.143, 0.720, 0.420, 0.160, 2.136, 0.525, 1.204, 10.075, , , , 1.413, 17.872
