Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
12.027, 0.019, 0.570, 0.081, 0.423, 1.497, 0.041, 22.319, 0.049, 0.032, 0.011, 57.181, 0.018
11.888, 0.024, 0.524, 0.078, 0.422, 1.482, 0.047, 23.923, 0.048, 0.030, 0.011, 56.050, 0.018
11.803, 0.018, 0.506, 0.081, 0.422, 1.479, 0.048, 23.411, 0.052, 0.033, 0.011, 56.663, 0.016
11.620, 0.018, 0.492, 0.076, 0.412, 1.444, 0.039, 22.795, 0.051, 0.032, 0.011, 58.389, 0.019
11.974, 0.019, 0.511, 0.080, 0.427, 1.536, 0.045, 22.983, 0.053, 0.034, 0.011, 57.001, 0.033
11.772, 0.019, 0.503, 0.080, 0.423, 1.508, 0.043, 23.426, 0.115, 0.034, 0.012, 57.175, 0.019
11.967, 0.019, 0.513, 0.079, 0.423, 1.496, 0.040, 23.501, 0.053, 0.043, 0.015, 59.197, 0.018
11.968, 0.018, 0.496, 0.078, 0.421, 1.511, 0.046, 22.530, 0.060, 0.035, 0.011, 57.201, 0.018
11.688, 0.017, 0.491, 0.079, 0.412, 1.510, 0.038, 23.742, 0.051, 0.033, 0.011, 58.254, 0.019
12.198, 0.020, 0.533, 0.081, 0.443, 1.540, 0.045, 22.172, 0.053, 0.043, 0.015, 58.851, 0.019
12.266, 0.020, 0.597, 0.081, 0.442, 1.542, 0.050, 21.958, 0.052, 0.034, 0.012, 57.639, 0.018
12.138, 0.018, 0.516, 0.081, 0.439, 1.523, 0.045, 23.436, 0.055, 0.044, 0.016, 58.773, 0.018
11.856, 0.019, 0.499, 0.079, 0.422, 1.484, 0.040, 22.547, 0.051, 0.045, 0.015, 59.689, 0.018
11.877, 0.018, 0.499, 0.080, 0.425, 1.473, 0.044, 22.267, 0.051, 0.034, 0.012, 56.863, 0.018
11.932, 0.020, 0.521, 0.081, 0.423, 1.494, 0.047, 22.129, 0.052, 0.045, 0.015, 57.764, 0.019
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10b.sql...
11.927, 0.018, 0.487, 0.082, 0.524, 1.475, 0.040, 22.942, 0.052, 0.035, 0.011, 45.795, 0.021
11.890, 0.018, 0.488, 0.082, 0.423, 1.514, 0.048, 23.045, 0.052, 0.035, 0.011, 48.079, 0.018
12.117, 0.018, 0.501, 0.084, 0.429, 1.490, 0.047, 23.636, 0.054, 0.042, 0.015, 46.666, 0.016
11.892, 0.018, 0.546, 0.082, 0.422, 1.482, 0.046, 22.356, 0.053, 0.044, 0.014, 47.676, 0.018
11.834, 0.018, 0.487, 0.082, 0.442, 1.479, 0.045, 22.771, 0.055, 0.044, 0.015, 47.342, 0.034
11.719, 0.018, 0.478, 0.082, 0.423, 1.469, 0.045, 21.667, 0.056, 0.034, 0.011, 45.991, 0.018
12.343, 0.019, 0.522, 0.084, 0.441, 1.539, 0.044, 23.108, 0.058, 0.044, 0.014, 48.066, 0.018
11.910, 0.018, 0.501, 0.082, 0.422, 1.544, 0.049, 22.557, 0.058, 0.044, 0.015, 47.129, 0.016
11.653, 0.018, 0.486, 0.081, 0.422, 1.473, 0.048, 21.813, 0.057, 0.045, 0.015, 47.222, 0.017
11.767, 0.018, 0.536, 0.080, 0.415, 1.459, 0.041, 22.484, 0.056, 0.035, 0.011, 46.964, 0.033
11.762, 0.018, 0.476, 0.079, 0.414, 1.505, 0.048, 24.177, 0.059, 0.043, 0.015, 46.300, 0.019
11.905, 0.019, 0.501, 0.083, 0.478, 1.485, 0.041, 22.504, 0.056, 0.034, 0.011, 46.156, 0.018
11.906, 0.018, 0.488, 0.085, 0.422, 1.564, 0.044, 22.331, 0.058, 0.034, 0.011, 46.656, 0.018
11.949, 0.019, 0.491, 0.084, 0.422, 1.484, 0.041, 23.294, 0.059, 0.044, 0.015, 47.828, 0.016
11.989, 0.019, 0.491, 0.123, 0.423, 1.495, 0.041, 22.157, 0.059, 0.044, 0.015, 47.672, 0.016
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10c.sql...
12.027, 0.019, 0.496, 0.082, 0.421, 1.497, 0.045, 62.096, 0.070, 0.032, 0.009, 162.619, 0.032
11.913, 0.018, 0.485, 0.080, 0.458, 1.441, 0.044, 63.021, 0.055, 0.031, 0.010, 160.824, 0.031
11.920, 0.018, 0.482, 0.079, 0.406, 1.448, 0.047, 61.035, 0.058, 0.041, 0.013, 163.429, 0.016
12.035, 0.018, 0.472, 0.081, 0.491, 1.436, 0.045, 61.778, 0.055, 0.032, 0.016, 163.422, 0.031
11.982, 0.018, 0.473, 0.078, 0.406, 1.490, 0.048, 62.781, 0.058, 0.040, 0.014, 163.456, 0.034
11.961, 0.018, 0.478, 0.083, 0.406, 1.493, 0.040, 63.358, 0.055, 0.031, 0.010, 164.108, 0.017
11.868, 0.018, 0.467, 0.078, 0.403, 1.428, 0.048, 61.031, 0.055, 0.030, 0.010, 159.686, 0.031
12.005, 0.019, 0.485, 0.080, 0.405, 1.493, 0.047, 62.531, 0.055, 0.032, 0.011, 163.787, 0.031
11.931, 0.019, 0.477, 0.078, 0.468, 1.434, 0.040, 63.612, 0.054, 0.031, 0.010, 160.786, 0.031
11.925, 0.019, 0.479, 0.077, 0.403, 1.421, 0.044, 63.155, 0.056, 0.031, 0.009, 159.846, 0.031
11.916, 0.018, 0.480, 0.079, 0.403, 1.485, 0.044, 63.058, 0.053, 0.030, 0.010, 160.220, 0.016
12.083, 0.019, 0.503, 0.078, 0.515, 1.456, 0.040, 61.198, 0.052, 0.032, 0.010, 171.424, 0.032
11.889, 0.017, 0.466, 0.079, 0.403, 1.538, 0.041, 64.601, 0.051, 0.032, 0.010, 160.827, 0.031
11.660, 0.017, 0.471, 0.078, 0.412, 1.439, 0.040, 62.054, 0.051, 0.032, 0.010, 161.437, 0.017
12.182, 0.018, 0.486, 0.077, 0.428, 1.489, 0.039, 61.198, 0.049, 0.031, 0.009, 163.449, 0.032
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/11a.sql...
11.986, 0.018, 0.557, 0.084, 0.410, 1.806, 0.030, 12.244, 0.042, 0.039, 0.969, 0.033, 8.212, 0.045, 0.038, 0.014, 9.739, 0.018
12.165, 0.019, 0.589, 0.088, 0.443, 1.841, 0.036, 10.646, 0.042, 0.039, 0.943, 0.032, 8.438, 0.043, 0.027, 0.010, 10.347, 0.017
12.015, 0.019, 0.581, 0.086, 0.424, 1.903, 0.039, 13.545, 0.042, 0.038, 1.004, 0.033, 8.598, 0.045, 0.026, 0.010, 10.288, 0.018
11.936, 0.019, 0.583, 0.086, 0.484, 1.790, 0.039, 11.479, 0.043, 0.039, 0.948, 0.033, 8.782, 0.046, 0.037, 0.014, 10.252, 0.018
11.970, 0.018, 0.573, 0.088, 0.426, 1.802, 0.038, 10.287, 0.043, 0.038, 0.990, 0.033, 8.414, 0.043, 0.027, 0.011, 9.786, 0.016
11.930, 0.019, 0.577, 0.086, 0.423, 1.834, 0.030, 12.456, 0.042, 0.039, 0.952, 0.033, 8.110, 0.044, 0.027, 0.010, 10.132, 0.018
11.957, 0.019, 0.573, 0.085, 0.424, 1.886, 0.038, 10.024, 0.042, 0.038, 0.933, 0.033, 8.308, 0.039, 0.037, 0.014, 10.396, 0.016
12.037, 0.019, 0.579, 0.089, 0.424, 1.837, 0.035, 11.755, 0.041, 0.040, 0.933, 0.033, 8.294, 0.037, 0.028, 0.010, 10.597, 0.018
11.971, 0.019, 0.581, 0.086, 0.424, 1.782, 0.031, 10.213, 0.042, 0.039, 0.942, 0.032, 10.435, 0.043, 0.027, 0.010, 10.084, 0.019
11.913, 0.018, 0.577, 0.090, 0.467, 1.785, 0.031, 10.965, 0.042, 0.039, 0.941, 0.033, 8.850, 0.041, 0.027, 0.010, 10.067, 0.019
11.861, 0.019, 0.560, 0.086, 0.421, 1.769, 0.030, 10.379, 0.040, 0.039, 0.942, 0.033, 8.453, 0.044, 0.037, 0.015, 9.813, 0.032
11.858, 0.018, 0.569, 0.087, 0.424, 1.898, 0.035, 10.151, 0.042, 0.039, 0.947, 0.033, 8.332, 0.043, 0.027, 0.011, 10.276, 0.020
11.869, 0.019, 0.562, 0.086, 0.430, 1.827, 0.038, 9.988, 0.040, 0.039, 0.934, 0.033, 8.506, 0.041, 0.027, 0.010, 9.578, 0.017
11.924, 0.018, 0.575, 0.087, 0.422, 1.827, 0.038, 10.133, 0.043, 0.039, 0.941, 0.033, 8.269, 0.045, 0.036, 0.013, 10.011, 0.018
11.868, 0.018, 0.570, 0.087, 0.427, 1.832, 0.030, 12.419, 0.044, 0.052, 1.715, 0.040, 9.075, 0.038, 0.035, 0.014, 9.792, 0.017
Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/11b.sql...
11.918, 0.019, 0.571, 0.086, 0.425, 1.825, 0.034, 13.098, 0.043, 0.038, 0.966, 0.032, 8.939, 0.034, 0.024, 0.009, 9.837, 0.017
11.963, 0.018, 0.648, 0.084, 0.423, 1.784, 0.034, 12.232, 0.044, 0.052, 1.132, 0.033, 7.363, 0.032, 0.025, 0.010, 9.921, 0.019
11.799, 0.018, 0.566, 0.132, 0.422, 1.774, 0.042, 12.869, 0.043, 0.053, 1.246, 0.034, 7.378, 0.031, 0.025, 0.009, 9.491, 0.016
11.899, 0.019, 0.583, 0.083, 0.467, 1.764, 0.037, 13.104, 0.043, 0.039, 0.995, 0.033, 6.407, 0.032, 0.025, 0.009, 10.355, 0.018
11.839, 0.019, 0.571, 0.090, 0.423, 1.840, 0.037, 13.733, 0.043, 0.039, 1.012, 0.032, 8.565, 0.033, 0.025, 0.009, 10.067, 0.016
