Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.295, 0.757, 0.552, 0.891, 0.341, 0.238, , , , , 0.216, 0.152, 0.022, 2.459, 5.923
0.301, 0.570, 0.349, 0.548, 0.200, 0.139, , , , , 0.132, 0.101, 0.018, 2.075, 4.433
0.303, 0.657, 0.422, 0.536, 0.290, 0.159, , , , , 0.166, 0.133, 0.020, 73.024, 75.710
0.258, 0.439, 0.345, 0.550, 0.196, 0.130, , , , , 0.124, 0.100, 0.020, 0.299, 2.461
0.210, 0.423, 0.307, 0.478, 0.211, 0.135, , , , , 0.130, 0.099, 0.018, 0.388, 2.399
0.216, 0.493, 0.353, 0.709, 0.390, 0.151, , , , , 0.161, 0.138, 0.018, 1.871, 4.500
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.323, 0.613, 0.339, 0.517, 0.258, 0.121, , , , , 0.121, 0.096, 0.023, 2.087, 4.498
0.243, 0.539, 0.332, 0.536, 0.191, 0.132, , , , , 0.132, 0.100, 0.019, 2.057, 4.281
0.247, 0.577, 0.362, 0.539, 0.284, 0.155, , , , , 0.160, 0.131, 0.021, 72.981, 75.457
0.249, 0.354, 0.376, 0.541, 0.193, 0.129, , , , , 0.126, 0.098, 0.019, 0.246, 2.331
0.180, 0.288, 0.317, 0.524, 0.219, 0.143, , , , , 0.130, 0.102, 0.019, 0.734, 2.656
0.257, 0.503, 0.336, 0.619, 0.382, 0.148, , , , , 0.160, 0.139, 0.019, 1.648, 4.211
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
1.016, 0.537, 0.350, 0.565, 0.198, 0.124, , , , , 0.122, 0.099, 0.021, 2.251, 5.283
0.263, 0.482, 0.346, 0.547, 0.196, 0.135, , , , , 0.130, 0.104, 0.019, 1.731, 3.953
0.249, 0.548, 0.359, 0.582, 0.284, 0.166, , , , , 0.162, 0.133, 0.020, 72.945, 75.448
0.256, 0.500, 0.645, 0.551, 0.197, 0.131, , , , , 0.122, 0.102, 0.021, 0.326, 2.851
0.213, 0.385, 0.325, 0.473, 0.210, 0.135, , , , , 0.130, 0.100, 0.017, 0.442, 2.430
0.225, 0.411, 0.419, 0.655, 0.388, 0.148, , , , , 0.157, 0.134, 0.018, 1.712, 4.267
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.233, 0.588, 0.371, 0.589, 0.210, 0.132, , , , , 0.127, 0.104, 0.022, 2.204, 4.580
0.222, 0.516, 0.368, 0.582, 0.212, 0.144, , , , , 0.145, 0.109, 0.020, 1.897, 4.215
